dataset,n_bits,rounding_threshold,p_error,image_idx,inference_time,prediction,real_tag
breastmnist,5,5,0.008,0,22.799938917160034,1,0
breastmnist,5,5,0.008,1,16.108381032943726,1,1
breastmnist,5,5,0.008,2,21.542230129241943,1,1
breastmnist,5,5,0.008,3,25.147297143936157,1,1
breastmnist,5,5,0.008,4,18.898881196975708,1,1
breastmnist,5,5,0.008,5,18.021757125854492,1,1
breastmnist,5,5,0.008,6,15.298472166061401,0,0
breastmnist,5,5,0.008,7,16.834802865982056,1,0
breastmnist,5,5,0.008,8,16.865902185440063,1,1
breastmnist,5,5,0.008,9,15.395333051681519,1,1
breastmnist,5,5,0.008,10,15.645847082138062,1,0
breastmnist,5,5,0.008,11,16.345850944519043,0,0
breastmnist,5,5,0.008,12,21.887741088867188,1,1
breastmnist,5,5,0.008,13,16.52230405807495,0,0
breastmnist,5,5,0.008,14,16.8143630027771,1,1
breastmnist,5,5,0.008,15,17.410942792892456,1,0
breastmnist,5,5,0.008,16,18.955803871154785,1,1
breastmnist,5,5,0.008,17,20.37761688232422,1,1
breastmnist,5,5,0.008,18,16.96515417098999,1,1
breastmnist,5,5,0.008,19,17.42507791519165,1,1
breastmnist,5,5,0.008,20,15.272881031036377,1,0
breastmnist,5,5,0.008,21,17.574720859527588,1,1
breastmnist,5,5,0.008,22,17.504040956497192,1,1
breastmnist,5,5,0.008,23,16.610512733459473,1,0
breastmnist,5,5,0.008,24,22.191728830337524,1,0
breastmnist,5,5,0.008,25,15.610596895217896,1,1
breastmnist,5,5,0.008,26,17.579412937164307,0,0
breastmnist,5,5,0.008,27,18.37935495376587,1,1
breastmnist,5,5,0.008,28,15.796919107437134,1,1
breastmnist,5,5,0.008,29,16.8800368309021,1,1
breastmnist,5,5,0.008,30,16.826863050460815,1,1
breastmnist,5,5,0.008,31,15.821404933929443,1,1
breastmnist,5,5,0.008,32,16.44717311859131,1,1
breastmnist,5,5,0.008,33,18.503691911697388,1,1
breastmnist,5,5,0.008,34,16.869025945663452,1,1
breastmnist,5,5,0.008,35,19.621766805648804,1,0
breastmnist,5,5,0.008,36,16.500038862228394,1,1
breastmnist,5,5,0.008,37,16.71045708656311,1,1
breastmnist,5,5,0.008,38,15.827486991882324,0,0
breastmnist,5,5,0.008,39,16.866059064865112,1,1
breastmnist,5,5,0.008,40,17.309799909591675,1,0
breastmnist,5,5,0.008,41,17.135442972183228,1,1
breastmnist,5,5,0.008,42,15.706131935119629,1,0
breastmnist,5,5,0.008,43,16.16759490966797,1,1
breastmnist,5,5,0.008,44,15.373391151428223,1,0
breastmnist,5,5,0.008,45,17.911875009536743,1,0
breastmnist,5,5,0.008,46,17.322558879852295,1,1
breastmnist,5,5,0.008,47,15.557760000228882,1,1
breastmnist,5,5,0.008,48,16.24986505508423,1,0
breastmnist,5,5,0.008,49,16.554222106933594,1,1
breastmnist,6,5,0.008,0,25.868340015411377,1,0
breastmnist,6,5,0.008,1,24.64452290534973,1,1
