dataset,n_bits,rounding_threshold,p_error,image_idx,inference_time,prediction,real_tag
octmnist,5,5,0.008,0,27.27708888053894,3,3
octmnist,5,5,0.008,1,19.211695194244385,3,2
octmnist,5,5,0.008,2,17.272685050964355,3,3
octmnist,5,5,0.008,3,20.07516384124756,3,3
octmnist,5,5,0.008,4,17.183837890625,0,0
octmnist,5,5,0.008,5,15.240691900253296,3,2
octmnist,5,5,0.008,6,15.373228788375854,1,1
octmnist,5,5,0.008,7,15.875051021575928,0,0
octmnist,5,5,0.008,8,19.998078107833862,0,0
octmnist,5,5,0.008,9,21.234346866607666,3,3
octmnist,5,5,0.008,10,17.67717981338501,0,0
octmnist,5,5,0.008,11,19.764832019805908,1,1
octmnist,5,5,0.008,12,19.571054935455322,3,3
octmnist,5,5,0.008,13,17.708839178085327,3,3
octmnist,5,5,0.008,14,18.472185850143433,3,3
octmnist,5,5,0.008,15,15.269963026046753,3,2
octmnist,5,5,0.008,16,18.947429895401,3,2
octmnist,5,5,0.008,17,18.01353430747986,3,3
octmnist,5,5,0.008,18,21.15625309944153,1,0
octmnist,5,5,0.008,19,21.579966068267822,3,2
octmnist,5,5,0.008,20,17.362171173095703,1,1
octmnist,5,5,0.008,21,21.776098012924194,1,0
octmnist,5,5,0.008,22,21.29677176475525,0,0
octmnist,5,5,0.008,23,21.838146924972534,3,3
octmnist,5,5,0.008,24,20.508233070373535,3,0
octmnist,5,5,0.008,25,17.917879104614258,0,0
octmnist,5,5,0.008,26,21.121930837631226,0,0
octmnist,5,5,0.008,27,21.09353017807007,1,1
octmnist,5,5,0.008,28,23.162155866622925,0,2
octmnist,5,5,0.008,29,19.10371494293213,1,1
octmnist,5,5,0.008,30,15.966376066207886,3,2
octmnist,5,5,0.008,31,18.59674906730652,3,1
octmnist,5,5,0.008,32,20.581608772277832,3,2
octmnist,5,5,0.008,33,18.06389284133911,3,3
octmnist,5,5,0.008,34,20.246227741241455,3,2
octmnist,5,5,0.008,35,17.53549599647522,1,1
octmnist,5,5,0.008,36,16.574651956558228,1,1
octmnist,5,5,0.008,37,22.171348810195923,3,3
octmnist,5,5,0.008,38,15.756725072860718,3,0
octmnist,5,5,0.008,39,20.574267148971558,3,2
octmnist,5,5,0.008,40,19.369327306747437,1,1
octmnist,5,5,0.008,41,15.328546047210693,3,2
octmnist,5,5,0.008,42,20.200860023498535,3,0
octmnist,5,5,0.008,43,16.562845945358276,0,0
octmnist,5,5,0.008,44,23.83771586418152,3,3
octmnist,5,5,0.008,45,17.71013307571411,0,1
octmnist,5,5,0.008,46,16.613513946533203,3,3
octmnist,5,5,0.008,47,16.510550022125244,3,1
octmnist,5,5,0.008,48,16.39469313621521,1,1
octmnist,5,5,0.008,49,21.010016918182373,3,2
octmnist,6,5,0.008,0,22.749714851379395,0,3
octmnist,6,5,0.008,1,16.420840978622437,3,2
octmnist,6,5,0.008,2,21.799166917800903,3,3
octmnist,6,5,0.008,3,16.216048002243042,3,3
octmnist,6,5,0.008,4,18.589820861816406,0,0
octmnist,6,5,0.008,5,16.773250102996826,3,2
octmnist,6,5,0.008,6,17.354753732681274,1,1
octmnist,6,5,0.008,7,16.846845149993896,0,0
octmnist,6,5,0.008,8,16.83857274055481,0,0
octmnist,6,5,0.008,9,15.376600980758667,3,3
octmnist,6,5,0.008,10,19.10348629951477,0,0
