dataset,n_bits,rounding_threshold,p_error,image_idx,inference_time,prediction,real_tag
organamnist,5,5,0.008,0,22.111921072006226,9,4
organamnist,5,5,0.008,1,18.21809196472168,9,0
organamnist,5,5,0.008,2,16.823097944259644,8,8
organamnist,5,5,0.008,3,16.469572067260742,6,6
organamnist,5,5,0.008,4,15.73348593711853,5,5
organamnist,5,5,0.008,5,16.044636964797974,0,0
organamnist,5,5,0.008,6,15.89723801612854,8,8
organamnist,5,5,0.008,7,17.112700939178467,7,7
organamnist,5,5,0.008,8,15.171236991882324,9,0
organamnist,5,5,0.008,9,15.958597183227539,8,6
organamnist,5,5,0.008,10,15.12238883972168,9,4
organamnist,5,5,0.008,11,15.538370847702026,7,7
organamnist,5,5,0.008,12,15.059151887893677,4,4
organamnist,5,5,0.008,13,15.996334075927734,10,4
organamnist,5,5,0.008,14,16.073137760162354,7,7
organamnist,5,5,0.008,15,17.078901052474976,8,8
organamnist,5,5,0.008,16,18.47288990020752,0,0
organamnist,5,5,0.008,17,17.091159105300903,8,8
organamnist,5,5,0.008,18,15.124506950378418,5,5
organamnist,5,5,0.008,19,15.928725481033325,10,10
organamnist,5,5,0.008,20,16.36214303970337,6,6
organamnist,5,5,0.008,21,19.100913047790527,10,10
organamnist,5,5,0.008,22,15.882522821426392,5,5
organamnist,5,5,0.008,23,18.60859203338623,5,4
organamnist,5,5,0.008,24,15.369322061538696,9,5
organamnist,5,5,0.008,25,19.30830693244934,0,0
organamnist,5,5,0.008,26,16.06052589416504,2,2
organamnist,5,5,0.008,27,16.066185235977173,5,5
organamnist,5,5,0.008,28,20.07987093925476,10,4
organamnist,5,5,0.008,29,22.725532054901123,5,5
organamnist,5,5,0.008,30,20.105786085128784,7,7
organamnist,5,5,0.008,31,15.45107889175415,10,4
organamnist,5,5,0.008,32,17.07342219352722,10,10
organamnist,5,5,0.008,33,16.47598123550415,7,7
organamnist,5,5,0.008,34,15.631033897399902,9,9
organamnist,5,5,0.008,35,16.828416109085083,5,5
organamnist,5,5,0.008,36,17.053850173950195,6,6
organamnist,5,5,0.008,37,19.049782037734985,10,10
organamnist,5,5,0.008,38,18.179039239883423,6,6
organamnist,5,5,0.008,39,17.38481569290161,7,7
organamnist,5,5,0.008,40,16.514741897583008,4,4
organamnist,5,5,0.008,41,15.788781881332397,4,10
organamnist,5,5,0.008,42,20.790066957473755,6,6
organamnist,5,5,0.008,43,18.60446071624756,6,6
organamnist,5,5,0.008,44,16.438466787338257,4,4
organamnist,5,5,0.008,45,15.908782243728638,2,2
