dataset,n_bits,rounding_threshold,p_error,image_idx,inference_time,prediction,real_tag
organcmnist,5,5,0.008,0,22.275264024734497,9,9
organcmnist,5,5,0.008,1,16.16753101348877,0,2
organcmnist,5,5,0.008,2,17.027655124664307,6,6
organcmnist,5,5,0.008,3,19.675642728805542,4,4
organcmnist,5,5,0.008,4,18.248493909835815,6,6
organcmnist,5,5,0.008,5,16.670737981796265,6,6
organcmnist,5,5,0.008,6,17.07984161376953,9,9
organcmnist,5,5,0.008,7,16.934653282165527,3,3
organcmnist,5,5,0.008,8,16.555977821350098,5,5
organcmnist,5,5,0.008,9,16.43982481956482,9,0
organcmnist,5,5,0.008,10,19.703521728515625,7,7
organcmnist,5,5,0.008,11,19.748554944992065,6,6
organcmnist,5,5,0.008,12,19.123354196548462,6,6
organcmnist,5,5,0.008,13,17.56757616996765,10,4
organcmnist,5,5,0.008,14,15.4426851272583,6,6
organcmnist,5,5,0.008,15,18.507025003433228,7,7
organcmnist,5,5,0.008,16,21.423330068588257,3,3
organcmnist,5,5,0.008,17,16.10061812400818,6,10
organcmnist,5,5,0.008,18,16.41305112838745,6,6
organcmnist,5,5,0.008,19,17.21535086631775,0,5
organcmnist,5,5,0.008,20,18.37752079963684,7,7
organcmnist,5,5,0.008,21,17.214307069778442,3,10
organcmnist,5,5,0.008,22,16.025892972946167,4,4
organcmnist,5,5,0.008,23,16.13560700416565,6,6
organcmnist,5,5,0.008,24,16.967318058013916,7,3
organcmnist,5,5,0.008,25,16.486435174942017,6,6
organcmnist,5,5,0.008,26,16.761992931365967,3,3
organcmnist,5,5,0.008,27,17.17405104637146,7,7
organcmnist,5,5,0.008,28,15.74069881439209,10,3
organcmnist,5,5,0.008,29,21.61974811553955,9,4
organcmnist,5,5,0.008,30,18.208754062652588,9,9
organcmnist,5,5,0.008,31,17.411500930786133,9,4
organcmnist,5,5,0.008,32,16.75226616859436,9,9
organcmnist,5,5,0.008,33,15.878405332565308,0,0
organcmnist,5,5,0.008,34,19.313097953796387,9,5
organcmnist,5,5,0.008,35,16.734466075897217,9,9
organcmnist,5,5,0.008,36,18.83106017112732,9,2
organcmnist,5,5,0.008,37,16.11466908454895,6,6
organcmnist,5,5,0.008,38,16.82440996170044,9,0
organcmnist,5,5,0.008,39,17.187069177627563,0,5
organcmnist,5,5,0.008,40,15.968744039535522,0,0
organcmnist,5,5,0.008,41,19.41971182823181,10,10
organcmnist,5,5,0.008,42,18.998101949691772,6,6
organcmnist,5,5,0.008,43,18.404349088668823,3,3
organcmnist,5,5,0.008,44,17.182036876678467,0,4
organcmnist,5,5,0.008,45,15.591256141662598,9,5
organcmnist,5,5,0.008,46,15.862837076187134,6,6
organcmnist,5,5,0.008,47,16.37440586090088,6,6
organcmnist,5,5,0.008,48,17.608414888381958,10,10
organcmnist,5,5,0.008,49,16.4204158782959,1,1
organcmnist,6,5,0.008,0,24.951743841171265,9,9
organcmnist,6,5,0.008,1,20.405730962753296,0,2
organcmnist,6,5,0.008,2,20.764177083969116,6,6
organcmnist,6,5,0.008,3,20.84659218788147,4,4
organcmnist,6,5,0.008,4,21.725247144699097,6,6
organcmnist,6,5,0.008,5,22.547602891921997,6,6
organcmnist,6,5,0.008,6,20.159109115600586,9,9
organcmnist,6,5,0.008,7,21.786876916885376,3,3
organcmnist,6,5,0.008,8,21.426461935043335,5,5
organcmnist,6,5,0.008,9,21.4429030418396,0,0
organcmnist,6,5,0.008,10,20.922791242599487,7,7
organcmnist,6,5,0.008,11,22.697199821472168,6,6
organcmnist,6,5,0.008,12,24.016680240631104,6,6
organcmnist,6,5,0.008,13,22.05565595626831,4,4
organcmnist,6,5,0.008,14,27.136476755142212,9,6
organcmnist,6,5,0.008,15,19.774901866912842,7,7
organcmnist,6,5,0.008,16,20.74704122543335,10,3
organcmnist,6,5,0.008,17,26.464064121246338,6,10
organcmnist,6,5,0.008,18,21.021018028259277,6,6
organcmnist,6,5,0.008,19,20.420162677764893,0,5
