dataset,n_bits,rounding_threshold,p_error,image_idx,inference_time,prediction,real_tag
organsmnist,5,5,0.008,0,21.895478010177612,10,4
organsmnist,5,5,0.008,1,16.889907836914062,6,6
organsmnist,5,5,0.008,2,15.769479990005493,6,6
organsmnist,5,5,0.008,3,22.744630098342896,7,8
organsmnist,5,5,0.008,4,15.290170907974243,3,9
organsmnist,5,5,0.008,5,23.044038772583008,10,9
organsmnist,5,5,0.008,6,18.076341152191162,10,10
organsmnist,5,5,0.008,7,15.802464008331299,10,9
organsmnist,5,5,0.008,8,16.542365074157715,6,5
organsmnist,5,5,0.008,9,20.44217801094055,6,6
organsmnist,5,5,0.008,10,23.61496114730835,6,6
organsmnist,5,5,0.008,11,17.5316801071167,10,2
organsmnist,5,5,0.008,12,17.048168182373047,6,6
organsmnist,5,5,0.008,13,20.400243997573853,8,8
organsmnist,5,5,0.008,14,16.698902130126953,10,10
organsmnist,5,5,0.008,15,17.837918043136597,6,9
organsmnist,5,5,0.008,16,15.786001205444336,6,10
organsmnist,5,5,0.008,17,19.54072904586792,6,6
organsmnist,5,5,0.008,18,17.58485198020935,6,5
organsmnist,5,5,0.008,19,18.756840229034424,6,6
organsmnist,5,5,0.008,20,18.26846718788147,4,2
organsmnist,5,5,0.008,21,16.040673971176147,6,6
organsmnist,5,5,0.008,22,17.902968883514404,6,4
organsmnist,5,5,0.008,23,17.422736883163452,5,5
organsmnist,5,5,0.008,24,16.741547107696533,10,4
organsmnist,5,5,0.008,25,17.91033387184143,10,6
organsmnist,5,5,0.008,26,17.114816904067993,10,10
organsmnist,5,5,0.008,27,15.588506937026978,6,4
organsmnist,5,5,0.008,28,16.01387906074524,6,9
organsmnist,5,5,0.008,29,16.169239044189453,7,8
organsmnist,5,5,0.008,30,15.382068872451782,6,10
organsmnist,5,5,0.008,31,20.295244932174683,10,10
organsmnist,5,5,0.008,32,23.36110806465149,6,6
organsmnist,5,5,0.008,33,18.37242293357849,3,3
organsmnist,5,5,0.008,34,17.663275957107544,6,1
organsmnist,5,5,0.008,35,18.776580810546875,6,6
organsmnist,5,5,0.008,36,18.343061923980713,7,7
organsmnist,5,5,0.008,37,16.69777512550354,8,8
organsmnist,5,5,0.008,38,16.04945683479309,6,9
organsmnist,5,5,0.008,39,16.399476051330566,10,5
organsmnist,5,5,0.008,40,16.560105085372925,6,4
organsmnist,5,5,0.008,41,17.319135189056396,3,5
organsmnist,5,5,0.008,42,17.12732696533203,10,1
organsmnist,5,5,0.008,43,16.23004698753357,6,6
organsmnist,5,5,0.008,44,19.441136837005615,3,3
organsmnist,5,5,0.008,45,16.491008043289185,6,6
organsmnist,5,5,0.008,46,19.503049850463867,6,5
organsmnist,5,5,0.008,47,17.979049921035767,6,6
organsmnist,5,5,0.008,48,16.17190980911255,5,4
organsmnist,5,5,0.008,49,16.204426050186157,6,9
organsmnist,6,5,0.008,0,28.42511510848999,4,4
organsmnist,6,5,0.008,1,21.527233123779297,6,6
organsmnist,6,5,0.008,2,23.23512601852417,6,6
organsmnist,6,5,0.008,3,19.994613885879517,7,8
organsmnist,6,5,0.008,4,20.832117080688477,4,9
organsmnist,6,5,0.008,5,20.53243899345398,5,9
organsmnist,6,5,0.008,6,20.365751028060913,10,10
organsmnist,6,5,0.008,7,21.187678813934326,9,9
organsmnist,6,5,0.008,8,24.844762086868286,5,5
organsmnist,6,5,0.008,9,22.931644916534424,6,6
organsmnist,6,5,0.008,10,20.38299536705017,6,6
organsmnist,6,5,0.008,11,22.409204959869385,3,2
organsmnist,6,5,0.008,12,20.670845985412598,6,6
organsmnist,6,5,0.008,13,23.45192790031433,7,8
organsmnist,6,5,0.008,14,22.857258081436157,10,10
organsmnist,6,5,0.008,15,20.396130084991455,9,9
organsmnist,6,5,0.008,16,20.183910846710205,6,10
organsmnist,6,5,0.008,17,19.70197081565857,6,6
organsmnist,6,5,0.008,18,21.734540939331055,5,5
organsmnist,6,5,0.008,19,21.69887685775757,6,6
organsmnist,6,5,0.008,20,22.075448036193848,10,2
organsmnist,6,5,0.008,21,20.398696899414062,6,6
organsmnist,6,5,0.008,22,20.717737913131714,4,4
organsmnist,6,5,0.008,23,23.50755500793457,9,5
organsmnist,6,5,0.008,24,24.925673961639404,10,4
organsmnist,6,5,0.008,25,21.25795888900757,6,6
organsmnist,6,5,0.008,26,21.52303981781006,6,10
organsmnist,6,5,0.008,27,19.87949275970459,4,4
organsmnist,6,5,0.008,28,22.71203088760376,9,9
organsmnist,6,5,0.008,29,20.91178607940674,8,8
organsmnist,6,5,0.008,30,21.83622717857361,3,10
organsmnist,6,5,0.008,31,20.058758974075317,6,10
organsmnist,6,5,0.008,32,20.352384090423584,6,6
organsmnist,6,5,0.008,33,24.323091983795166,7,3
organsmnist,6,5,0.008,34,22.77770972251892,6,1
organsmnist,6,5,0.008,35,21.632039070129395,6,6
organsmnist,6,5,0.008,36,21.053587198257446,7,7
organsmnist,6,5,0.008,37,20.959535121917725,8,8
organsmnist,6,5,0.008,38,21.80635094642639,6,9
organsmnist,6,5,0.008,39,20.020274877548218,9,5
organsmnist,6,5,0.008,40,21.703097820281982,6,4
organsmnist,6,5,0.008,41,23.703073024749756,5,5
organsmnist,6,5,0.008,42,20.793464183807373,4,1
organsmnist,6,5,0.008,43,21.729383945465088,6,6
organsmnist,6,5,0.008,44,22.55707287788391,3,3
organsmnist,6,5,0.008,45,20.092782020568848,6,6
organsmnist,6,5,0.008,46,21.910794019699097,4,5
organsmnist,6,5,0.008,47,21.782737970352173,6,6
organsmnist,6,5,0.008,48,20.43528699874878,4,4
organsmnist,6,5,0.008,49,21.652111768722534,9,9
organsmnist,6,6,0.008,0,33.115402936935425,4,4
organsmnist,6,6,0.008,1,27.56157898902893,6,6
organsmnist,6,6,0.008,2,28.019019842147827,6,6
organsmnist,6,6,0.008,3,30.870393991470337,8,8
organsmnist,6,6,0.008,4,28.65324902534485,9,9
organsmnist,6,6,0.008,5,31.642167806625366,5,9
organsmnist,6,6,0.008,6,27.399368047714233,10,10
organsmnist,6,6,0.008,7,28.63924503326416,9,9
organsmnist,6,6,0.008,8,31.532490015029907,6,5
organsmnist,6,6,0.008,9,30.320103883743286,6,6
organsmnist,6,6,0.008,10,34.872204065322876,6,6
organsmnist,6,6,0.008,11,33.1308810710907,3,2
organsmnist,6,6,0.008,12,29.434226989746094,6,6
organsmnist,6,6,0.008,13,27.630609035491943,8,8
organsmnist,6,6,0.008,14,34.49216079711914,6,10
organsmnist,6,6,0.008,15,33.80797290802002,9,9
organsmnist,6,6,0.008,16,27.818758249282837,6,10
organsmnist,6,6,0.008,17,28.468029975891113,6,6
organsmnist,6,6,0.008,18,31.175556659698486,4,5
organsmnist,6,6,0.008,19,35.17484784126282,6,6
organsmnist,6,6,0.008,20,31.2083477973938,0,2
organsmnist,6,6,0.008,21,30.551886081695557,6,6
organsmnist,6,6,0.008,22,28.00105381011963,4,4
organsmnist,6,6,0.008,23,30.034286975860596,9,5
organsmnist,6,6,0.008,24,28.10409712791443,10,4
organsmnist,6,6,0.008,25,29.408454179763794,6,6
organsmnist,6,6,0.008,26,32.70180892944336,3,10
organsmnist,6,6,0.008,27,27.79658079147339,10,4
organsmnist,6,6,0.008,28,32.163209199905396,6,9
organsmnist,6,6,0.008,29,26.512151956558228,8,8
organsmnist,6,6,0.008,30,36.216639041900635,6,10
organsmnist,6,6,0.008,31,31.199480056762695,6,10
organsmnist,6,6,0.008,32,32.789812088012695,6,6
organsmnist,6,6,0.008,33,29.535327911376953,3,3
organsmnist,6,6,0.008,34,29.911795139312744,10,1
organsmnist,6,6,0.008,35,28.139353036880493,6,6
organsmnist,6,6,0.008,36,27.167650938034058,7,7
organsmnist,6,6,0.008,37,28.33578109741211,8,8
organsmnist,6,6,0.008,38,28.520960092544556,6,9
organsmnist,6,6,0.008,39,28.907796144485474,9,5
organsmnist,6,6,0.008,40,32.57398295402527,6,4
organsmnist,6,6,0.008,41,28.031212091445923,5,5
organsmnist,6,6,0.008,42,27.36584711074829,10,1
organsmnist,6,6,0.008,43,28.847651720046997,6,6
organsmnist,6,6,0.008,44,27.769684076309204,3,3
organsmnist,6,6,0.008,45,32.24469184875488,6,6
organsmnist,6,6,0.008,46,30.41003918647766,5,5
organsmnist,6,6,0.008,47,30.217238903045654,6,6
organsmnist,6,6,0.008,48,29.451277017593384,4,4
organsmnist,6,6,0.008,49,33.56909990310669,9,9
organsmnist,7,5,0.008,0,33.28866910934448,4,4
organsmnist,7,5,0.008,1,30.454890966415405,6,6
organsmnist,7,5,0.008,2,27.81412410736084,6,6
organsmnist,7,5,0.008,3,33.54731869697571,7,8
organsmnist,7,5,0.008,4,24.18407702445984,4,9
organsmnist,7,5,0.008,5,32.572853803634644,9,9
organsmnist,7,5,0.008,6,29.342485904693604,5,10
organsmnist,7,5,0.008,7,24.305940866470337,9,9
organsmnist,7,5,0.008,8,24.78213405609131,6,5
organsmnist,7,5,0.008,9,27.83739185333252,6,6
organsmnist,7,5,0.008,10,29.642104148864746,6,6
organsmnist,7,5,0.008,11,25.735445976257324,9,2
organsmnist,7,5,0.008,12,25.495620012283325,6,6
organsmnist,7,5,0.008,13,27.390766859054565,8,8
organsmnist,7,5,0.008,14,30.1460702419281,10,10
organsmnist,7,5,0.008,15,28.02078676223755,9,9
organsmnist,7,5,0.008,16,29.303639888763428,6,10
organsmnist,7,5,0.008,17,27.654329776763916,6,6
organsmnist,7,5,0.008,18,23.2655930519104,4,5
organsmnist,7,5,0.008,19,30.8867290019989,6,6
organsmnist,7,5,0.008,20,27.740676164627075,2,2
organsmnist,7,5,0.008,21,24.129038095474243,6,6
organsmnist,7,5,0.008,22,25.95664095878601,5,4
organsmnist,7,5,0.008,23,26.121241807937622,9,5
organsmnist,7,5,0.008,24,23.695837020874023,6,4
organsmnist,7,5,0.008,25,26.85425901412964,6,6
organsmnist,7,5,0.008,26,26.13120985031128,10,10
organsmnist,7,5,0.008,27,24.43433427810669,5,4
organsmnist,7,5,0.008,28,29.291870832443237,9,9
organsmnist,7,5,0.008,29,24.02985906600952,7,8
organsmnist,7,5,0.008,30,28.691057920455933,3,10
organsmnist,7,5,0.008,31,26.10394310951233,5,10
organsmnist,7,5,0.008,32,24.69642686843872,6,6
organsmnist,7,5,0.008,33,25.79897713661194,3,3
organsmnist,7,5,0.008,34,28.868189096450806,4,1
organsmnist,7,5,0.008,35,30.628572940826416,6,6
organsmnist,7,5,0.008,36,23.94313383102417,7,7
organsmnist,7,5,0.008,37,33.10066604614258,8,8
organsmnist,7,5,0.008,38,28.15807008743286,6,9
organsmnist,7,5,0.008,39,24.892711877822876,9,5
organsmnist,7,5,0.008,40,27.595656871795654,9,4
organsmnist,7,5,0.008,41,25.032322883605957,4,5
organsmnist,7,5,0.008,42,24.834885835647583,4,1
