dataset,n_bits,rounding_threshold,p_error,image_idx,inference_time,prediction,real_tag
pneumoniamnist,5,5,0.008,0,28.206135034561157,1,1
pneumoniamnist,5,5,0.008,1,16.691164016723633,1,0
pneumoniamnist,5,5,0.008,2,20.837738275527954,0,1
pneumoniamnist,5,5,0.008,3,15.997055053710938,0,0
pneumoniamnist,5,5,0.008,4,15.53350019454956,1,1
pneumoniamnist,5,5,0.008,5,19.48014211654663,1,1
pneumoniamnist,5,5,0.008,6,16.686357975006104,1,1
pneumoniamnist,5,5,0.008,7,18.937313079833984,1,1
pneumoniamnist,5,5,0.008,8,17.675192832946777,1,1
pneumoniamnist,5,5,0.008,9,21.229063987731934,1,0
pneumoniamnist,5,5,0.008,10,18.554563999176025,1,1
pneumoniamnist,5,5,0.008,11,18.85996413230896,1,1
pneumoniamnist,5,5,0.008,12,21.98710298538208,1,1
pneumoniamnist,5,5,0.008,13,19.899168014526367,1,1
pneumoniamnist,5,5,0.008,14,23.457530736923218,1,1
pneumoniamnist,5,5,0.008,15,19.73986792564392,1,1
pneumoniamnist,5,5,0.008,16,18.30093216896057,1,1
pneumoniamnist,5,5,0.008,17,15.444869041442871,1,1
pneumoniamnist,5,5,0.008,18,16.011048078536987,1,1
pneumoniamnist,5,5,0.008,19,15.544014930725098,0,0
pneumoniamnist,5,5,0.008,20,16.92201805114746,0,0
pneumoniamnist,5,5,0.008,21,18.79451894760132,1,1
pneumoniamnist,5,5,0.008,22,18.90901517868042,1,1
pneumoniamnist,5,5,0.008,23,24.96875524520874,1,1
pneumoniamnist,5,5,0.008,24,31.58173394203186,1,1
pneumoniamnist,5,5,0.008,25,27.54273295402527,0,0
pneumoniamnist,5,5,0.008,26,28.803410053253174,1,1
pneumoniamnist,5,5,0.008,27,27.75165104866028,0,0
pneumoniamnist,5,5,0.008,28,28.221587896347046,1,0
pneumoniamnist,5,5,0.008,29,29.310874223709106,1,1
pneumoniamnist,5,5,0.008,30,27.71291208267212,1,0
pneumoniamnist,5,5,0.008,31,26.246106147766113,1,1
pneumoniamnist,5,5,0.008,32,29.584357023239136,1,1
pneumoniamnist,5,5,0.008,33,28.800057649612427,1,1
pneumoniamnist,5,5,0.008,34,29.27228283882141,1,1
pneumoniamnist,5,5,0.008,35,27.225727319717407,1,1
pneumoniamnist,5,5,0.008,36,27.31173086166382,0,0
pneumoniamnist,5,5,0.008,37,27.39617609977722,1,1
pneumoniamnist,5,5,0.008,38,30.971868753433228,0,0
pneumoniamnist,5,5,0.008,39,28.571050882339478,1,0
pneumoniamnist,5,5,0.008,40,19.936171770095825,1,1
pneumoniamnist,5,5,0.008,41,21.718003273010254,0,0
pneumoniamnist,5,5,0.008,42,16.31179714202881,0,0
pneumoniamnist,5,5,0.008,43,21.44536304473877,0,0
pneumoniamnist,5,5,0.008,44,19.569990873336792,1,0
pneumoniamnist,5,5,0.008,45,17.53730297088623,1,1
pneumoniamnist,5,5,0.008,46,15.836614847183228,0,0
pneumoniamnist,5,5,0.008,47,15.453124761581421,1,1
pneumoniamnist,5,5,0.008,48,25.19762682914734,1,1
pneumoniamnist,5,5,0.008,49,25.263750076293945,1,1
pneumoniamnist,5,6,0.008,0,58.01827096939087,1,1
pneumoniamnist,5,6,0.008,1,48.99214482307434,1,0
pneumoniamnist,5,6,0.008,2,48.87714219093323,1,1
pneumoniamnist,5,6,0.008,3,48.18118214607239,0,0
pneumoniamnist,5,6,0.008,4,49.24160695075989,1,1
pneumoniamnist,5,6,0.008,5,49.548941135406494,1,1
pneumoniamnist,5,6,0.008,6,47.533326148986816,1,1
pneumoniamnist,5,6,0.008,7,48.880154848098755,1,1
pneumoniamnist,5,6,0.008,8,47.74367594718933,1,1
pneumoniamnist,5,6,0.008,9,49.6933228969574,1,0
pneumoniamnist,5,6,0.008,10,49.70968317985535,1,1
pneumoniamnist,5,6,0.008,11,47.582383155822754,1,1
pneumoniamnist,5,6,0.008,12,48.75330901145935,1,1
pneumoniamnist,5,6,0.008,13,49.65097117424011,1,1
pneumoniamnist,5,6,0.008,14,47.930800914764404,1,1
pneumoniamnist,5,6,0.008,15,52.8609037399292,1,1
pneumoniamnist,5,6,0.008,16,47.70673894882202,1,1
pneumoniamnist,5,6,0.008,17,48.500977993011475,0,1
pneumoniamnist,5,6,0.008,18,47.97156310081482,1,1
pneumoniamnist,5,6,0.008,19,65.69903302192688,0,0
pneumoniamnist,5,6,0.008,20,60.500982999801636,0,0
pneumoniamnist,5,6,0.008,21,55.83192491531372,1,1
pneumoniamnist,5,6,0.008,22,44.82349514961243,1,1
pneumoniamnist,5,6,0.008,23,46.58722186088562,1,1
pneumoniamnist,5,6,0.008,24,44.83544588088989,1,1
pneumoniamnist,5,6,0.008,25,47.38830208778381,0,0
pneumoniamnist,5,6,0.008,26,47.03760623931885,1,1
pneumoniamnist,5,6,0.008,27,48.131197929382324,0,0
pneumoniamnist,5,6,0.008,28,46.95124125480652,1,0
pneumoniamnist,5,6,0.008,29,46.658451080322266,1,1
pneumoniamnist,5,6,0.008,30,48.80814218521118,1,0
pneumoniamnist,5,6,0.008,31,47.00840997695923,1,1
pneumoniamnist,5,6,0.008,32,47.58747696876526,1,1
pneumoniamnist,5,6,0.008,33,48.37907791137695,1,1
pneumoniamnist,5,6,0.008,34,48.80242896080017,1,1
pneumoniamnist,5,6,0.008,35,48.146650075912476,1,1
pneumoniamnist,5,6,0.008,36,49.97523593902588,0,0
pneumoniamnist,5,6,0.008,37,48.223236083984375,1,1
pneumoniamnist,5,6,0.008,38,49.487887144088745,0,0
pneumoniamnist,5,6,0.008,39,51.02522802352905,1,0
pneumoniamnist,5,6,0.008,40,48.01015305519104,1,1
pneumoniamnist,5,6,0.008,41,47.73196601867676,0,0
pneumoniamnist,5,6,0.008,42,48.620052099227905,0,0
pneumoniamnist,5,6,0.008,43,50.196934938430786,0,0
pneumoniamnist,5,6,0.008,44,51.07944583892822,1,0
pneumoniamnist,5,6,0.008,45,49.93445611000061,1,1
pneumoniamnist,5,6,0.008,46,48.70064067840576,0,0
pneumoniamnist,5,6,0.008,47,48.79587507247925,1,1
pneumoniamnist,5,6,0.008,48,48.77288603782654,1,1
pneumoniamnist,5,6,0.008,49,48.02449369430542,1,1
pneumoniamnist,6,5,0.008,0,27.307682037353516,1,1
pneumoniamnist,6,5,0.008,1,19.622928857803345,1,0
pneumoniamnist,6,5,0.008,2,21.822292804718018,1,1
pneumoniamnist,6,5,0.008,3,24.274386882781982,0,0
pneumoniamnist,6,5,0.008,4,27.3421151638031,1,1
pneumoniamnist,6,5,0.008,5,26.17675280570984,1,1
pneumoniamnist,6,5,0.008,6,20.453168153762817,1,1
pneumoniamnist,6,5,0.008,7,23.147215843200684,1,1
pneumoniamnist,6,5,0.008,8,23.918498039245605,1,1
pneumoniamnist,6,5,0.008,9,21.135535717010498,1,0
pneumoniamnist,6,5,0.008,10,26.199880123138428,1,1
pneumoniamnist,6,5,0.008,11,20.74133825302124,1,1
pneumoniamnist,6,5,0.008,12,22.446575164794922,1,1
pneumoniamnist,6,5,0.008,13,19.787381172180176,1,1
pneumoniamnist,6,5,0.008,14,24.792274951934814,1,1
pneumoniamnist,6,5,0.008,15,30.22723698616028,1,1
pneumoniamnist,6,5,0.008,16,22.104327917099,1,1
pneumoniamnist,6,5,0.008,17,22.18047595024109,0,1
pneumoniamnist,6,5,0.008,18,21.422333002090454,1,1
pneumoniamnist,6,5,0.008,19,22.64635133743286,0,0
pneumoniamnist,6,5,0.008,20,21.058202266693115,0,0
pneumoniamnist,6,5,0.008,21,22.596461057662964,1,1
pneumoniamnist,6,5,0.008,22,21.67034101486206,1,1
pneumoniamnist,6,5,0.008,23,21.05832290649414,1,1
pneumoniamnist,6,5,0.008,24,22.93569779396057,1,1
pneumoniamnist,6,5,0.008,25,24.272062063217163,0,0
pneumoniamnist,6,5,0.008,26,25.63730502128601,1,1
pneumoniamnist,6,5,0.008,27,24.005409717559814,0,0
pneumoniamnist,6,5,0.008,28,21.097538948059082,1,0
pneumoniamnist,6,5,0.008,29,22.368704080581665,1,1
pneumoniamnist,6,5,0.008,30,21.44022226333618,1,0
pneumoniamnist,6,5,0.008,31,23.601604223251343,1,1
pneumoniamnist,6,5,0.008,32,22.60011386871338,1,1
pneumoniamnist,6,5,0.008,33,24.305377960205078,1,1
pneumoniamnist,6,5,0.008,34,21.40233302116394,1,1
pneumoniamnist,6,5,0.008,35,21.570966720581055,1,1
pneumoniamnist,6,5,0.008,36,24.619566917419434,1,0
pneumoniamnist,6,5,0.008,37,25.60358500480652,1,1
pneumoniamnist,6,5,0.008,38,23.7260582447052,0,0
pneumoniamnist,6,5,0.008,39,24.462804079055786,0,0
pneumoniamnist,6,5,0.008,40,23.698723793029785,1,1
pneumoniamnist,6,5,0.008,41,20.497944116592407,0,0
pneumoniamnist,6,5,0.008,42,22.414211988449097,0,0
pneumoniamnist,6,5,0.008,43,20.33933115005493,0,0
pneumoniamnist,6,5,0.008,44,20.4846830368042,1,0
pneumoniamnist,6,5,0.008,45,30.53847312927246,1,1
pneumoniamnist,6,5,0.008,46,25.942888975143433,0,0
pneumoniamnist,6,5,0.008,47,20.34900188446045,1,1
pneumoniamnist,6,5,0.008,48,26.185964822769165,1,1
pneumoniamnist,6,5,0.008,49,20.56488800048828,1,1
pneumoniamnist,6,6,0.008,0,33.14961910247803,1,1
pneumoniamnist,6,6,0.008,1,35.36227488517761,1,0
pneumoniamnist,6,6,0.008,2,28.52503275871277,0,1
pneumoniamnist,6,6,0.008,3,27.953091144561768,0,0
pneumoniamnist,6,6,0.008,4,35.7279109954834,1,1
pneumoniamnist,6,6,0.008,5,34.23628211021423,1,1
pneumoniamnist,6,6,0.008,6,30.836334705352783,1,1
pneumoniamnist,6,6,0.008,7,34.32350206375122,1,1
pneumoniamnist,6,6,0.008,8,34.637754917144775,1,1
pneumoniamnist,6,6,0.008,9,31.371461153030396,1,0
pneumoniamnist,6,6,0.008,10,26.97869610786438,1,1
pneumoniamnist,6,6,0.008,11,32.00665593147278,1,1
pneumoniamnist,6,6,0.008,12,36.362263917922974,1,1
pneumoniamnist,6,6,0.008,13,32.52371406555176,1,1
pneumoniamnist,6,6,0.008,14,27.458195209503174,1,1
pneumoniamnist,6,6,0.008,15,36.89503884315491,1,1
pneumoniamnist,6,6,0.008,16,32.50960993766785,1,1
pneumoniamnist,6,6,0.008,17,31.31672430038452,0,1
pneumoniamnist,6,6,0.008,18,29.679576873779297,1,1
pneumoniamnist,6,6,0.008,19,33.14346790313721,0,0
pneumoniamnist,6,6,0.008,20,27.917325973510742,0,0
pneumoniamnist,6,6,0.008,21,45.936392068862915,1,1
pneumoniamnist,6,6,0.008,22,47.896960973739624,1,1
pneumoniamnist,6,6,0.008,23,46.24077224731445,1,1
pneumoniamnist,6,6,0.008,24,43.565139293670654,1,1
pneumoniamnist,6,6,0.008,25,49.36978220939636,0,0
pneumoniamnist,6,6,0.008,26,27.483855724334717,1,1
pneumoniamnist,6,6,0.008,27,41.52381205558777,0,0
pneumoniamnist,6,6,0.008,28,27.74505591392517,0,0
pneumoniamnist,6,6,0.008,29,27.568048000335693,1,1
pneumoniamnist,6,6,0.008,30,31.740856170654297,1,0
pneumoniamnist,6,6,0.008,31,29.51851201057434,1,1
pneumoniamnist,6,6,0.008,32,31.339300870895386,1,1
pneumoniamnist,6,6,0.008,33,37.65974998474121,1,1
pneumoniamnist,6,6,0.008,34,45.20215582847595,1,1
pneumoniamnist,6,6,0.008,35,52.59311509132385,1,1
pneumoniamnist,6,6,0.008,36,69.26468825340271,1,0
pneumoniamnist,6,6,0.008,37,71.622074842453,1,1
pneumoniamnist,6,6,0.008,38,71.21762990951538,0,0
pneumoniamnist,6,6,0.008,39,68.31709694862366,0,0
pneumoniamnist,6,6,0.008,40,72.6834077835083,1,1
pneumoniamnist,6,6,0.008,41,67.015695810318,0,0
pneumoniamnist,6,6,0.008,42,63.563897132873535,0,0
pneumoniamnist,6,6,0.008,43,64.20035099983215,0,0
pneumoniamnist,6,6,0.008,44,71.06485795974731,1,0
pneumoniamnist,6,6,0.008,45,70.94882297515869,1,1
pneumoniamnist,6,6,0.008,46,72.8097460269928,0,0
pneumoniamnist,6,6,0.008,47,71.98680782318115,1,1
pneumoniamnist,6,6,0.008,48,70.85404014587402,1,1
pneumoniamnist,6,6,0.008,49,70.33310008049011,1,1
