dataset,n_bits,rounding_threshold,p_error,image_idx,inference_time,prediction,real_tag
tissuemnist,5,5,0.008,0,23.97602105140686,6,0
tissuemnist,5,5,0.008,1,14.419903039932251,6,6
tissuemnist,5,5,0.008,2,13.26131820678711,7,7
tissuemnist,5,5,0.008,3,15.388636112213135,6,0
tissuemnist,5,5,0.008,4,13.816833019256592,6,7
tissuemnist,5,5,0.008,5,15.216670989990234,7,7
tissuemnist,5,5,0.008,6,14.901063919067383,0,6
tissuemnist,5,5,0.008,7,14.144613981246948,6,6
tissuemnist,5,5,0.008,8,15.77362608909607,7,0
tissuemnist,5,5,0.008,9,14.316411972045898,7,0
tissuemnist,5,5,0.008,10,15.055514812469482,0,6
tissuemnist,5,5,0.008,11,13.102458953857422,0,1
tissuemnist,5,5,0.008,12,16.942573070526123,7,3
tissuemnist,5,5,0.008,13,14.111822128295898,7,4
tissuemnist,5,5,0.008,14,16.568938970565796,3,6
tissuemnist,5,5,0.008,15,15.065754175186157,6,6
tissuemnist,5,5,0.008,16,19.61416506767273,6,0
tissuemnist,5,5,0.008,17,13.627999067306519,6,0
tissuemnist,5,5,0.008,18,13.798940181732178,6,6
tissuemnist,5,5,0.008,19,14.039587020874023,7,7
tissuemnist,5,5,0.008,20,13.647350072860718,5,3
tissuemnist,5,5,0.008,21,13.593383073806763,6,7
tissuemnist,5,5,0.008,22,16.439707279205322,7,7
tissuemnist,5,5,0.008,23,13.797139883041382,0,0
tissuemnist,5,5,0.008,24,14.608123779296875,5,4
tissuemnist,5,5,0.008,25,13.201458930969238,3,4
tissuemnist,5,5,0.008,26,14.595010757446289,3,4
tissuemnist,5,5,0.008,27,13.1963529586792,2,2
tissuemnist,5,5,0.008,28,14.095710277557373,0,0
tissuemnist,5,5,0.008,29,14.066979169845581,5,5
tissuemnist,5,5,0.008,30,14.21513319015503,4,0
tissuemnist,5,5,0.008,31,14.97807002067566,0,0
tissuemnist,5,5,0.008,32,13.991367816925049,6,6
tissuemnist,5,5,0.008,33,13.659055948257446,6,6
tissuemnist,5,5,0.008,34,14.493083953857422,6,0
tissuemnist,5,5,0.008,35,12.864650011062622,7,6
tissuemnist,5,5,0.008,36,13.595699071884155,0,0
tissuemnist,5,5,0.008,37,16.06597590446472,6,0
tissuemnist,5,5,0.008,38,13.455610275268555,7,6
tissuemnist,5,5,0.008,39,15.018248081207275,7,1
tissuemnist,5,5,0.008,40,13.705816984176636,3,3
tissuemnist,5,5,0.008,41,16.340582847595215,7,0
tissuemnist,5,5,0.008,42,13.478974342346191,0,6
tissuemnist,5,5,0.008,43,14.784162759780884,2,6
tissuemnist,5,5,0.008,44,13.211333274841309,7,7
tissuemnist,5,5,0.008,45,14.225852966308594,0,0
tissuemnist,5,5,0.008,46,15.81124997138977,7,7
tissuemnist,5,5,0.008,47,13.310402154922485,6,6
tissuemnist,5,5,0.008,48,14.49258804321289,7,7
tissuemnist,5,5,0.008,49,13.4670991897583,7,7
tissuemnist,6,5,0.008,0,21.36927103996277,3,0
tissuemnist,6,5,0.008,1,18.109859228134155,7,6
tissuemnist,6,5,0.008,2,16.476633071899414,0,7
tissuemnist,6,5,0.008,3,21.75827717781067,5,0
tissuemnist,6,5,0.008,4,18.522093772888184,7,7
tissuemnist,6,5,0.008,5,21.51449418067932,7,7
tissuemnist,6,5,0.008,6,16.99712610244751,0,6
tissuemnist,6,5,0.008,7,18.457146167755127,0,6
tissuemnist,6,5,0.008,8,18.702423095703125,0,0
tissuemnist,6,5,0.008,9,15.722972869873047,6,0
tissuemnist,6,5,0.008,10,20.651354789733887,0,6
tissuemnist,6,5,0.008,11,18.31853199005127,0,1
tissuemnist,6,5,0.008,12,16.24045991897583,0,3
tissuemnist,6,5,0.008,13,16.071558952331543,0,4
tissuemnist,6,5,0.008,14,16.022473335266113,3,6
tissuemnist,6,5,0.008,15,17.616315841674805,0,6
tissuemnist,6,5,0.008,16,16.60070776939392,0,0
tissuemnist,6,5,0.008,17,16.52959418296814,7,0
tissuemnist,6,5,0.008,18,18.967712879180908,6,6
tissuemnist,6,5,0.008,19,17.692073822021484,6,7
tissuemnist,6,5,0.008,20,15.756460905075073,3,3
tissuemnist,6,5,0.008,21,18.056637287139893,6,7
