dataset,n_bits,rounding_threshold,p_error,image_idx,inference_time,prediction,real_tag
dermamnist,4,4,0.008,0,23.736336946487427,5,5
dermamnist,4,4,0.008,1,22.403807878494263,1,3
dermamnist,4,4,0.008,2,22.06952691078186,2,4
dermamnist,4,4,0.008,3,21.911535024642944,5,0
dermamnist,4,4,0.008,4,22.14263129234314,5,5
dermamnist,4,4,0.008,5,21.356367826461792,5,5
dermamnist,4,4,0.008,6,21.93833088874817,5,5
dermamnist,4,4,0.008,7,21.829936027526855,2,4
dermamnist,4,4,0.008,8,23.422396898269653,5,5
dermamnist,4,4,0.008,9,21.0692720413208,5,2
dermamnist,4,4,0.008,10,23.26429796218872,5,1
dermamnist,4,4,0.008,11,21.64429211616516,5,5
dermamnist,4,4,0.008,12,21.60050916671753,2,4
dermamnist,4,4,0.008,13,23.522150993347168,5,5
dermamnist,4,4,0.008,14,22.304003953933716,4,5
dermamnist,4,4,0.008,15,22.754788875579834,5,4
dermamnist,4,4,0.008,16,21.980650901794434,4,4
dermamnist,4,4,0.008,17,23.343560934066772,2,2
dermamnist,4,4,0.008,18,25.250574111938477,5,5
dermamnist,4,4,0.008,19,20.481859922409058,5,2
dermamnist,4,4,0.008,20,21.454295873641968,5,5
dermamnist,4,4,0.008,21,22.84457516670227,4,5
dermamnist,4,4,0.008,22,23.182099103927612,5,5
dermamnist,4,4,0.008,23,23.97073483467102,5,5
dermamnist,4,4,0.008,24,21.68457794189453,1,5
dermamnist,4,4,0.008,25,21.514673948287964,5,5
dermamnist,4,4,0.008,26,22.265494108200073,5,5
dermamnist,4,4,0.008,27,22.555174112319946,5,5
dermamnist,4,4,0.008,28,22.518869161605835,5,5
dermamnist,4,4,0.008,29,24.22947096824646,2,2
dermamnist,4,4,0.008,30,21.5594642162323,5,5
dermamnist,4,4,0.008,31,24.621813774108887,5,5
dermamnist,4,4,0.008,32,24.483113050460815,4,4
dermamnist,4,4,0.008,33,20.700175046920776,4,5
dermamnist,4,4,0.008,34,24.926137924194336,5,2
dermamnist,4,4,0.008,35,23.338581085205078,2,2
dermamnist,4,4,0.008,36,22.982422828674316,5,2
dermamnist,4,4,0.008,37,21.840105056762695,5,5
dermamnist,4,4,0.008,38,22.686888933181763,2,2
dermamnist,4,4,0.008,39,24.514408349990845,4,1
dermamnist,4,4,0.008,40,21.001657962799072,5,5
dermamnist,4,4,0.008,41,23.075732946395874,5,5
dermamnist,4,4,0.008,42,21.818745136260986,5,5
dermamnist,4,4,0.008,43,22.41644287109375,5,5
dermamnist,4,4,0.008,44,24.185706853866577,5,5
dermamnist,4,4,0.008,45,22.527328968048096,5,1
dermamnist,4,4,0.008,46,22.65857219696045,5,5
dermamnist,4,4,0.008,47,21.544801712036133,5,5
dermamnist,4,4,0.008,48,21.374991178512573,5,5
dermamnist,4,4,0.008,49,25.481391191482544,2,5
dermamnist,5,5,0.008,0,30.854357957839966,5,5
dermamnist,5,5,0.008,1,26.917388916015625,1,3
dermamnist,5,5,0.008,2,25.8835289478302,2,4
dermamnist,5,5,0.008,3,26.48383903503418,4,0
dermamnist,5,5,0.008,4,25.65452289581299,4,5
dermamnist,5,5,0.008,5,29.03940510749817,5,5
dermamnist,5,5,0.008,6,26.513838052749634,5,5
dermamnist,5,5,0.008,7,26.574123859405518,4,4
dermamnist,5,5,0.008,8,25.974134922027588,5,5
dermamnist,5,5,0.008,9,24.97366189956665,2,2
dermamnist,5,5,0.008,10,25.899253845214844,1,1
dermamnist,5,5,0.008,11,26.099305391311646,5,5
dermamnist,5,5,0.008,12,26.400773763656616,4,4
dermamnist,5,5,0.008,13,27.573683977127075,5,5
dermamnist,5,5,0.008,14,29.553701877593994,5,5
dermamnist,5,5,0.008,15,28.218799114227295,5,4
dermamnist,5,5,0.008,16,27.019239902496338,4,4
dermamnist,5,5,0.008,17,25.45357322692871,2,2
dermamnist,5,5,0.008,18,26.8331561088562,5,5
dermamnist,5,5,0.008,19,26.063865900039673,5,2
dermamnist,5,5,0.008,20,29.322861909866333,5,5
dermamnist,5,5,0.008,21,31.37865710258484,4,5
dermamnist,5,5,0.008,22,26.10781216621399,5,5
dermamnist,5,5,0.008,23,26.56136178970337,5,5
dermamnist,5,5,0.008,24,26.194667100906372,1,5
dermamnist,5,5,0.008,25,26.54059100151062,4,5
dermamnist,5,5,0.008,26,25.298145055770874,5,5
dermamnist,5,5,0.008,27,27.85227394104004,5,5
dermamnist,5,5,0.008,28,27.180394172668457,5,5
dermamnist,5,5,0.008,29,29.0522141456604,2,2
dermamnist,5,5,0.008,30,28.208120107650757,5,5
dermamnist,5,5,0.008,31,26.378703117370605,5,5
dermamnist,5,5,0.008,32,27.603430032730103,4,4
dermamnist,5,5,0.008,33,26.536927938461304,4,5
dermamnist,5,5,0.008,34,28.861775159835815,5,2
dermamnist,5,5,0.008,35,31.759646892547607,2,2
dermamnist,5,5,0.008,36,31.52992081642151,2,2
dermamnist,5,5,0.008,37,32.30839920043945,5,5
dermamnist,5,5,0.008,38,26.17088294029236,2,2
dermamnist,5,5,0.008,39,27.51554799079895,4,1
dermamnist,5,5,0.008,40,31.847792148590088,5,5
dermamnist,5,5,0.008,41,28.684159994125366,4,5
dermamnist,5,5,0.008,42,27.507842779159546,5,5
dermamnist,5,5,0.008,43,31.65767192840576,5,5
dermamnist,5,5,0.008,44,28.06857705116272,5,5
dermamnist,5,5,0.008,45,25.96871519088745,2,1
dermamnist,5,5,0.008,46,30.23692488670349,5,5
dermamnist,5,5,0.008,47,28.528560876846313,5,5
dermamnist,5,5,0.008,48,28.681604146957397,5,5
dermamnist,5,5,0.008,49,31.04587411880493,2,5
dermamnist,6,5,0.008,0,42.413727045059204,5,5
dermamnist,6,5,0.008,1,37.95280909538269,1,3
dermamnist,6,5,0.008,2,37.211498975753784,2,4
dermamnist,6,5,0.008,3,34.083038091659546,2,0
dermamnist,6,5,0.008,4,35.82746887207031,4,5
dermamnist,6,5,0.008,5,39.18548083305359,5,5
dermamnist,6,5,0.008,6,35.53133010864258,4,5
dermamnist,6,5,0.008,7,38.40293312072754,5,4
dermamnist,6,5,0.008,8,35.59848213195801,5,5
dermamnist,6,5,0.008,9,34.9084370136261,4,2
dermamnist,6,5,0.008,10,38.89437794685364,2,1
dermamnist,6,5,0.008,11,32.207062005996704,5,5
dermamnist,6,5,0.008,12,35.34947180747986,4,4
dermamnist,6,5,0.008,13,35.68439483642578,5,5
dermamnist,6,5,0.008,14,34.580869913101196,5,5
dermamnist,6,5,0.008,15,37.62598705291748,4,4
dermamnist,6,5,0.008,16,34.04381704330444,4,4
dermamnist,6,5,0.008,17,40.76879620552063,2,2
dermamnist,6,5,0.008,18,32.58311915397644,5,5
