dataset,n_bits,rounding_threshold,p_error,image_idx,inference_time,prediction,real_tag
pathmnist,4,4,0.008,0,23.02261471748352,1,8
pathmnist,4,4,0.008,1,21.79953622817993,5,4
pathmnist,4,4,0.008,2,24.086490154266357,0,4
pathmnist,4,4,0.008,3,21.34417486190796,5,8
pathmnist,4,4,0.008,4,19.17461919784546,0,4
pathmnist,4,4,0.008,5,19.557181358337402,1,4
pathmnist,4,4,0.008,6,21.369242191314697,5,8
pathmnist,4,4,0.008,7,19.557533025741577,0,0
pathmnist,4,4,0.008,8,20.672033071517944,0,6
pathmnist,4,4,0.008,9,21.990800142288208,5,8
pathmnist,4,4,0.008,10,18.470014095306396,5,8
pathmnist,4,4,0.008,11,19.14513087272644,5,6
pathmnist,4,4,0.008,12,19.731473207473755,5,8
pathmnist,4,4,0.008,13,20.141994953155518,2,6
pathmnist,4,4,0.008,14,20.775105714797974,1,0
pathmnist,4,4,0.008,15,20.402650833129883,5,5
pathmnist,4,4,0.008,16,19.49109196662903,0,0
pathmnist,4,4,0.008,17,20.483338594436646,5,2
pathmnist,4,4,0.008,18,22.28358507156372,0,0
pathmnist,4,4,0.008,19,19.44949984550476,0,5
pathmnist,4,4,0.008,20,20.8295681476593,5,2
pathmnist,4,4,0.008,21,19.795392751693726,5,0
pathmnist,4,4,0.008,22,19.48649287223816,1,1
pathmnist,4,4,0.008,23,19.544936895370483,5,8
pathmnist,4,4,0.008,24,20.374532222747803,0,8
pathmnist,4,4,0.008,25,20.05129384994507,0,0
pathmnist,4,4,0.008,26,20.03521418571472,1,1
pathmnist,4,4,0.008,27,20.02846097946167,0,6
pathmnist,4,4,0.008,28,19.65105891227722,5,6
pathmnist,4,4,0.008,29,20.67839789390564,0,0
pathmnist,4,4,0.008,30,20.256431818008423,5,0
pathmnist,4,4,0.008,31,19.430161952972412,5,8
pathmnist,4,4,0.008,32,20.783527851104736,5,0
pathmnist,4,4,0.008,33,21.0687518119812,5,0
pathmnist,4,4,0.008,34,19.439077854156494,5,1
pathmnist,4,4,0.008,35,20.44914412498474,5,7
pathmnist,4,4,0.008,36,20.100358724594116,5,5
pathmnist,4,4,0.008,37,20.931936025619507,0,3
pathmnist,4,4,0.008,38,20.60872197151184,5,4
pathmnist,4,4,0.008,39,20.853214979171753,0,6
pathmnist,4,4,0.008,40,19.97342610359192,0,5
pathmnist,4,4,0.008,41,19.26461410522461,5,6
pathmnist,4,4,0.008,42,19.460420846939087,5,4
pathmnist,4,4,0.008,43,20.707390069961548,5,8
pathmnist,4,4,0.008,44,20.43337106704712,0,0
pathmnist,4,4,0.008,45,19.616755962371826,0,3
pathmnist,4,4,0.008,46,20.851168155670166,5,6
pathmnist,4,4,0.008,47,21.328255891799927,5,2
pathmnist,4,4,0.008,48,19.93924117088318,0,6
pathmnist,4,4,0.008,49,21.576138973236084,5,7
pathmnist,5,5,0.008,0,30.287634134292603,8,8
pathmnist,5,5,0.008,1,25.437963008880615,4,4
pathmnist,5,5,0.008,2,27.946088790893555,0,4
pathmnist,5,5,0.008,3,25.60170078277588,8,8
pathmnist,5,5,0.008,4,25.49270510673523,0,4
pathmnist,5,5,0.008,5,25.32173800468445,4,4
pathmnist,5,5,0.008,6,27.22447371482849,8,8
pathmnist,5,5,0.008,7,28.878553867340088,0,0
pathmnist,5,5,0.008,8,31.34805202484131,6,6
pathmnist,5,5,0.008,9,28.644973039627075,8,8
pathmnist,5,5,0.008,10,28.03442692756653,5,8
pathmnist,5,5,0.008,11,27.263000011444092,8,6
pathmnist,5,5,0.008,12,28.244446992874146,8,8
pathmnist,5,5,0.008,13,33.30511522293091,6,6
pathmnist,5,5,0.008,14,26.43935227394104,5,0
pathmnist,5,5,0.008,15,30.37212896347046,8,5
pathmnist,5,5,0.008,16,34.16309404373169,0,0
pathmnist,5,5,0.008,17,32.37334084510803,5,2
pathmnist,5,5,0.008,18,30.42746090888977,5,0
pathmnist,5,5,0.008,19,27.02140522003174,5,5
pathmnist,5,5,0.008,20,28.198405265808105,5,2
pathmnist,5,5,0.008,21,28.90174102783203,5,0
pathmnist,5,5,0.008,22,30.089498043060303,2,1
pathmnist,5,5,0.008,23,28.12160587310791,8,8
pathmnist,5,5,0.008,24,33.28532814979553,8,8
pathmnist,5,5,0.008,25,30.334314107894897,5,0
pathmnist,5,5,0.008,26,25.892637014389038,1,1
pathmnist,5,5,0.008,27,29.884568214416504,8,6
