dataset,n_bits,rounding_threshold,p_error,image_idx,inference_time,prediction,real_tag
retinamnist,4,4,0.008,0,25.123480081558228,0,2
retinamnist,4,4,0.008,1,20.346962928771973,0,1
retinamnist,4,4,0.008,2,21.689651012420654,0,0
retinamnist,4,4,0.008,3,19.277464151382446,2,0
retinamnist,4,4,0.008,4,19.36908984184265,0,0
retinamnist,4,4,0.008,5,22.572784185409546,0,0
retinamnist,4,4,0.008,6,19.314870834350586,2,2
retinamnist,4,4,0.008,7,20.70165514945984,2,2
retinamnist,4,4,0.008,8,20.845524787902832,0,0
retinamnist,4,4,0.008,9,20.50367498397827,3,3
retinamnist,4,4,0.008,10,19.624308824539185,1,2
retinamnist,4,4,0.008,11,21.770284175872803,3,2
retinamnist,4,4,0.008,12,19.083043098449707,0,0
retinamnist,4,4,0.008,13,21.762436151504517,0,3
retinamnist,4,4,0.008,14,22.168821811676025,0,0
retinamnist,4,4,0.008,15,22.1676926612854,0,0
retinamnist,4,4,0.008,16,21.6898090839386,0,0
retinamnist,4,4,0.008,17,20.96484613418579,3,2
retinamnist,4,4,0.008,18,20.300724983215332,3,4
retinamnist,4,4,0.008,19,20.17770290374756,0,0
retinamnist,4,4,0.008,20,18.712820053100586,0,0
retinamnist,4,4,0.008,21,22.087063789367676,0,0
retinamnist,4,4,0.008,22,19.649365186691284,0,0
retinamnist,4,4,0.008,23,19.153924226760864,0,0
retinamnist,4,4,0.008,24,21.53769588470459,0,2
retinamnist,4,4,0.008,25,20.320965051651,0,0
retinamnist,4,4,0.008,26,20.04709792137146,0,0
retinamnist,4,4,0.008,27,23.92160391807556,0,3
retinamnist,4,4,0.008,28,21.360647916793823,0,0
retinamnist,4,4,0.008,29,19.7062029838562,0,3
retinamnist,4,4,0.008,30,20.046201944351196,0,0
retinamnist,4,4,0.008,31,18.30453395843506,0,0
retinamnist,4,4,0.008,32,20.120221853256226,3,3
retinamnist,4,4,0.008,33,20.862751007080078,0,1
retinamnist,4,4,0.008,34,20.165786266326904,0,0
retinamnist,4,4,0.008,35,19.917972326278687,0,0
retinamnist,4,4,0.008,36,18.50180983543396,0,0
retinamnist,4,4,0.008,37,21.08660387992859,0,3
retinamnist,4,4,0.008,38,20.19725203514099,0,1
retinamnist,4,4,0.008,39,18.527873754501343,0,0
retinamnist,4,4,0.008,40,23.484528064727783,0,1
retinamnist,4,4,0.008,41,19.227829933166504,0,0
retinamnist,4,4,0.008,42,20.67819595336914,0,0
retinamnist,4,4,0.008,43,20.89177107810974,0,0
retinamnist,4,4,0.008,44,19.966829776763916,0,3
retinamnist,4,4,0.008,45,22.56325101852417,3,3
retinamnist,4,4,0.008,46,19.414549112319946,0,1
retinamnist,4,4,0.008,47,21.23038911819458,2,1
retinamnist,4,4,0.008,48,21.398884773254395,0,1
retinamnist,4,4,0.008,49,20.170358896255493,0,0
retinamnist,5,5,0.008,0,33.148030042648315,0,2
retinamnist,5,5,0.008,1,29.192572116851807,0,1
retinamnist,5,5,0.008,2,29.098464965820312,0,0
retinamnist,5,5,0.008,3,27.247385263442993,2,0
retinamnist,5,5,0.008,4,25.899007081985474,0,0
retinamnist,5,5,0.008,5,27.25230097770691,0,0
retinamnist,5,5,0.008,6,31.14089608192444,2,2
retinamnist,5,5,0.008,7,26.283343076705933,2,2
retinamnist,5,5,0.008,8,27.895303964614868,0,0
retinamnist,5,5,0.008,9,29.90925407409668,0,3
retinamnist,5,5,0.008,10,28.656561851501465,0,2
retinamnist,5,5,0.008,11,27.234610080718994,0,2
retinamnist,5,5,0.008,12,27.941694974899292,0,0
retinamnist,5,5,0.008,13,27.084697008132935,2,3
retinamnist,5,5,0.008,14,26.182223081588745,0,0
retinamnist,5,5,0.008,15,28.45166778564453,0,0
retinamnist,5,5,0.008,16,26.141733169555664,0,0
retinamnist,5,5,0.008,17,29.937214136123657,0,2
retinamnist,5,5,0.008,18,28.145169258117676,3,4
retinamnist,5,5,0.008,19,27.139214277267456,3,0
retinamnist,5,5,0.008,20,28.245095014572144,0,0
retinamnist,5,5,0.008,21,26.245819091796875,0,0
retinamnist,5,5,0.008,22,29.190377950668335,0,0
retinamnist,5,5,0.008,23,27.908262968063354,0,0
retinamnist,5,5,0.008,24,28.421449899673462,0,2
retinamnist,5,5,0.008,25,28.054058074951172,0,0
retinamnist,5,5,0.008,26,26.26929998397827,0,0
retinamnist,5,5,0.008,27,27.06501293182373,3,3
retinamnist,5,5,0.008,28,26.02734613418579,0,0
retinamnist,5,5,0.008,29,28.108788013458252,0,3
retinamnist,5,5,0.008,30,27.23139190673828,0,0
retinamnist,5,5,0.008,31,25.85086679458618,2,0
retinamnist,5,5,0.008,32,26.690364122390747,3,3
retinamnist,5,5,0.008,33,29.209548950195312,0,1
retinamnist,5,5,0.008,34,25.97053074836731,0,0
retinamnist,5,5,0.008,35,25.95943307876587,0,0
retinamnist,5,5,0.008,36,26.9091579914093,0,0
retinamnist,5,5,0.008,37,26.739333868026733,0,3
retinamnist,5,5,0.008,38,28.18073606491089,2,1
retinamnist,5,5,0.008,39,27.049918174743652,0,0
retinamnist,5,5,0.008,40,25.165215969085693,0,1
retinamnist,5,5,0.008,41,26.421106100082397,0,0
retinamnist,5,5,0.008,42,30.02000403404236,0,0
retinamnist,5,5,0.008,43,26.182687997817993,0,0
retinamnist,5,5,0.008,44,27.720853805541992,2,3
retinamnist,5,5,0.008,45,26.74997878074646,3,3
retinamnist,5,5,0.008,46,25.729049921035767,3,1
retinamnist,5,5,0.008,47,26.42569088935852,3,1
retinamnist,5,5,0.008,48,26.094325065612793,0,1
retinamnist,5,5,0.008,49,28.30975580215454,0,0
retinamnist,6,5,0.008,0,34.807703733444214,0,2
retinamnist,6,5,0.008,1,31.959280967712402,3,1
retinamnist,6,5,0.008,2,31.558637857437134,0,0
retinamnist,6,5,0.008,3,32.735023736953735,2,0
retinamnist,6,5,0.008,4,32.1431999206543,0,0
retinamnist,6,5,0.008,5,34.88030195236206,0,0
retinamnist,6,5,0.008,6,32.72687792778015,3,2
retinamnist,6,5,0.008,7,33.79031705856323,2,2
retinamnist,6,5,0.008,8,33.02391600608826,0,0
retinamnist,6,5,0.008,9,33.94079780578613,3,3
retinamnist,6,5,0.008,10,32.78936505317688,0,2
retinamnist,6,5,0.008,11,32.69882321357727,3,2
retinamnist,6,5,0.008,12,31.796787977218628,2,0
retinamnist,6,5,0.008,13,31.503509044647217,2,3
retinamnist,6,5,0.008,14,33.51017189025879,0,0
retinamnist,6,5,0.008,15,33.3787956237793,0,0
retinamnist,6,5,0.008,16,32.05357789993286,0,0
retinamnist,6,5,0.008,17,33.86596393585205,2,2
retinamnist,6,5,0.008,18,32.049899101257324,2,4
retinamnist,6,5,0.008,19,35.66482400894165,3,0
retinamnist,6,5,0.008,20,35.21423101425171,0,0
retinamnist,6,5,0.008,21,31.961421012878418,0,0
retinamnist,6,5,0.008,22,33.02187895774841,0,0
retinamnist,6,5,0.008,23,32.84963297843933,0,0
retinamnist,6,5,0.008,24,32.75036692619324,0,2
retinamnist,6,5,0.008,25,31.45326066017151,0,0
retinamnist,6,5,0.008,26,32.857316970825195,0,0
retinamnist,6,5,0.008,27,31.79512906074524,2,3
retinamnist,6,5,0.008,28,37.245126724243164,0,0
retinamnist,6,5,0.008,29,32.3800482749939,3,3
retinamnist,6,5,0.008,30,31.783199071884155,0,0
retinamnist,6,5,0.008,31,32.836792945861816,2,0
retinamnist,6,5,0.008,32,32.88199520111084,2,3
retinamnist,6,5,0.008,33,32.489174127578735,0,1
retinamnist,6,5,0.008,34,31.756797790527344,0,0
retinamnist,6,5,0.008,35,32.15577220916748,0,0
retinamnist,6,5,0.008,36,37.30922317504883,0,0
retinamnist,6,5,0.008,37,31.40621590614319,0,3
retinamnist,6,5,0.008,38,31.94401502609253,2,1
retinamnist,6,5,0.008,39,34.178160190582275,0,0
retinamnist,6,5,0.008,40,33.17826294898987,0,1
retinamnist,6,5,0.008,41,33.433634757995605,0,0
retinamnist,6,5,0.008,42,33.07277202606201,0,0
retinamnist,6,5,0.008,43,33.766276121139526,2,0
retinamnist,6,5,0.008,44,32.58818292617798,2,3
retinamnist,6,5,0.008,45,32.29312205314636,3,3
retinamnist,6,5,0.008,46,32.526029109954834,2,1
retinamnist,6,5,0.008,47,34.522024154663086,2,1
retinamnist,6,5,0.008,48,33.0242760181427,0,1
retinamnist,6,5,0.008,49,32.07573199272156,0,0
retinamnist,6,6,0.008,0,51.37811088562012,0,2
retinamnist,6,6,0.008,1,46.14846324920654,1,1
retinamnist,6,6,0.008,2,42.074235916137695,0,0
retinamnist,6,6,0.008,3,43.76958680152893,2,0
retinamnist,6,6,0.008,4,43.22784900665283,0,0
retinamnist,6,6,0.008,5,42.035141944885254,0,0
retinamnist,6,6,0.008,6,42.77744507789612,3,2
retinamnist,6,6,0.008,7,42.72351312637329,2,2
retinamnist,6,6,0.008,8,42.94418907165527,0,0
retinamnist,6,6,0.008,9,41.928869009017944,3,3
retinamnist,6,6,0.008,10,42.263850927352905,0,2
retinamnist,6,6,0.008,11,46.102089405059814,3,2
retinamnist,6,6,0.008,12,42.50761699676514,2,0
retinamnist,6,6,0.008,13,43.74960494041443,3,3
retinamnist,6,6,0.008,14,42.039348125457764,0,0
retinamnist,6,6,0.008,15,43.55809569358826,0,0
retinamnist,6,6,0.008,16,44.333263874053955,0,0
retinamnist,6,6,0.008,17,43.75952672958374,3,2
retinamnist,6,6,0.008,18,42.59529399871826,2,4
retinamnist,6,6,0.008,19,46.38943290710449,3,0
retinamnist,6,6,0.008,20,40.33499026298523,0,0
retinamnist,6,6,0.008,21,42.606385946273804,0,0
retinamnist,6,6,0.008,22,42.543647050857544,0,0
retinamnist,6,6,0.008,23,47.8991961479187,0,0
retinamnist,6,6,0.008,24,41.8964421749115,0,2
retinamnist,6,6,0.008,25,46.18147301673889,0,0
retinamnist,6,6,0.008,26,41.112316846847534,0,0
retinamnist,6,6,0.008,27,50.20435094833374,2,3
retinamnist,6,6,0.008,28,40.411762952804565,0,0
retinamnist,6,6,0.008,29,41.95144987106323,3,3
retinamnist,6,6,0.008,30,41.747771978378296,0,0
retinamnist,6,6,0.008,31,42.898786783218384,2,0
retinamnist,6,6,0.008,32,43.98768401145935,3,3
retinamnist,6,6,0.008,33,44.95101499557495,0,1
retinamnist,6,6,0.008,34,42.796586990356445,0,0
retinamnist,6,6,0.008,35,44.738805055618286,0,0
retinamnist,6,6,0.008,36,43.111454248428345,0,0
retinamnist,6,6,0.008,37,43.25087213516235,2,3
retinamnist,6,6,0.008,38,43.16783833503723,2,1
retinamnist,6,6,0.008,39,41.12756395339966,0,0
retinamnist,6,6,0.008,40,46.436819076538086,0,1
retinamnist,6,6,0.008,41,45.11341881752014,0,0
retinamnist,6,6,0.008,42,42.43284320831299,0,0
retinamnist,6,6,0.008,43,42.51225018501282,3,0
retinamnist,6,6,0.008,44,45.367159843444824,2,3
retinamnist,6,6,0.008,45,41.603679180145264,3,3
retinamnist,6,6,0.008,46,44.68910598754883,2,1
retinamnist,6,6,0.008,47,48.004095792770386,3,1
retinamnist,6,6,0.008,48,43.99603319168091,0,1
retinamnist,6,6,0.008,49,41.34556794166565,0,0
retinamnist,7,5,0.008,0,45.26354002952576,0,2
retinamnist,7,5,0.008,1,36.94332790374756,0,1
retinamnist,7,5,0.008,2,37.57439589500427,0,0
retinamnist,7,5,0.008,3,37.26796889305115,2,0
retinamnist,7,5,0.008,4,38.284794092178345,0,0
retinamnist,7,5,0.008,5,38.93485713005066,0,0
retinamnist,7,5,0.008,6,37.72693133354187,2,2
retinamnist,7,5,0.008,7,40.3897500038147,2,2
retinamnist,7,5,0.008,8,37.628528118133545,0,0
retinamnist,7,5,0.008,9,38.402376890182495,3,3
retinamnist,7,5,0.008,10,42.32019782066345,1,2
retinamnist,7,5,0.008,11,38.32278823852539,3,2
retinamnist,7,5,0.008,12,38.64903211593628,2,0
retinamnist,7,5,0.008,13,38.52061629295349,2,3
retinamnist,7,5,0.008,14,37.54978084564209,0,0
retinamnist,7,5,0.008,15,39.81998896598816,0,0
retinamnist,7,5,0.008,16,37.92090606689453,0,0
retinamnist,7,5,0.008,17,39.471559286117554,3,2
retinamnist,7,5,0.008,18,42.935412883758545,2,4
retinamnist,7,5,0.008,19,37.739959716796875,2,0
retinamnist,7,5,0.008,20,36.9304838180542,0,0
retinamnist,7,5,0.008,21,37.26306986808777,0,0
retinamnist,7,5,0.008,22,39.56562304496765,0,0
retinamnist,7,5,0.008,23,44.17960715293884,0,0
retinamnist,7,5,0.008,24,41.874181270599365,0,2
retinamnist,7,5,0.008,25,39.166967153549194,0,0
retinamnist,7,5,0.008,26,38.185253858566284,0,0
retinamnist,7,5,0.008,27,38.42107605934143,3,3
