dataset,n_bits,rounding_threshold,p_error,image_idx,inference_time,prediction,real_tag
octmnist,5,5,0.008,0,90.45107817649841,0,3
octmnist,5,5,0.008,1,88.28412365913391,0,2
octmnist,5,5,0.008,2,87.89623475074768,0,3
octmnist,5,5,0.008,3,88.33443236351013,3,3
octmnist,5,5,0.008,4,88.2681941986084,3,0
octmnist,5,5,0.008,5,88.78579831123352,3,2
octmnist,5,5,0.008,6,88.59269857406616,0,1
octmnist,5,5,0.008,7,88.81505584716797,0,0
octmnist,5,5,0.008,8,88.0022804737091,2,0
octmnist,5,5,0.008,9,87.79057955741882,3,3
octmnist,5,5,0.008,10,88.24661564826965,0,0
octmnist,5,5,0.008,11,87.96586608886719,0,1
octmnist,5,5,0.008,12,89.10424900054932,3,3
octmnist,5,5,0.008,13,88.26399111747742,0,3
octmnist,5,5,0.008,14,88.0625364780426,3,3
octmnist,5,5,0.008,15,88.85424661636353,0,2
octmnist,5,5,0.008,16,87.81143522262573,3,2
octmnist,5,5,0.008,17,88.51463222503662,0,3
octmnist,5,5,0.008,18,87.97879076004028,3,0
octmnist,5,5,0.008,19,87.90799450874329,3,2
octmnist,5,5,0.008,20,88.42052054405212,3,1
octmnist,5,5,0.008,21,87.88740587234497,3,0
octmnist,5,5,0.008,22,87.60515022277832,3,0
octmnist,5,5,0.008,23,88.21989965438843,3,3
octmnist,5,5,0.008,24,87.79552793502808,3,0
octmnist,5,5,0.008,25,87.77883195877075,0,0
octmnist,5,5,0.008,26,87.96371126174927,0,0
octmnist,5,5,0.008,27,87.86977958679199,1,1
octmnist,5,5,0.008,28,87.48290276527405,3,2
octmnist,5,5,0.008,29,88.03625798225403,3,1
octmnist,5,5,0.008,30,87.9374258518219,3,2
octmnist,5,5,0.008,31,87.97648906707764,3,1
octmnist,5,5,0.008,32,87.6785306930542,3,2
octmnist,5,5,0.008,33,87.68479776382446,0,3
octmnist,5,5,0.008,34,87.30902409553528,3,2
octmnist,5,5,0.008,35,88.10081744194031,3,1
octmnist,5,5,0.008,36,88.67625379562378,3,1
octmnist,5,5,0.008,37,88.19242453575134,0,3
octmnist,5,5,0.008,38,87.79635787010193,0,0
octmnist,5,5,0.008,39,87.86276960372925,0,2
octmnist,5,5,0.008,40,88.27366018295288,3,1
octmnist,5,5,0.008,41,88.12694978713989,3,2
octmnist,5,5,0.008,42,88.17545819282532,3,0
octmnist,5,5,0.008,43,87.76684546470642,0,0
octmnist,5,5,0.008,44,87.2003927230835,3,3
octmnist,5,5,0.008,45,88.35903787612915,0,1
octmnist,5,5,0.008,46,88.32262396812439,0,3
octmnist,5,5,0.008,47,88.12346959114075,3,1
octmnist,5,5,0.008,48,87.84250450134277,0,1
octmnist,5,5,0.008,49,87.7295777797699,3,2
octmnist,5,5,0.008,50,88.1113543510437,3,1
octmnist,5,5,0.008,51,87.70660662651062,0,0
octmnist,5,5,0.008,52,87.40347623825073,0,1
octmnist,5,5,0.008,53,88.01273083686829,0,0
octmnist,5,5,0.008,54,87.52726936340332,3,0
octmnist,5,5,0.008,55,87.67932724952698,0,1
octmnist,5,5,0.008,56,88.2316153049469,3,2
octmnist,5,5,0.008,57,87.41605806350708,0,1
octmnist,5,5,0.008,58,88.30733370780945,3,1
octmnist,5,5,0.008,59,87.79465770721436,3,1
octmnist,5,5,0.008,60,87.61241602897644,3,1
octmnist,5,5,0.008,61,87.99943017959595,0,2
octmnist,5,5,0.008,62,87.98657584190369,0,3
octmnist,5,5,0.008,63,88.22247624397278,0,2
octmnist,5,5,0.008,64,87.78298783302307,0,2
octmnist,5,5,0.008,65,88.48901772499084,0,0
octmnist,5,5,0.008,66,87.99589991569519,0,2
octmnist,5,5,0.008,67,87.97585034370422,0,0
octmnist,5,5,0.008,68,87.25690031051636,3,2
octmnist,5,5,0.008,69,88.2113471031189,3,1
octmnist,5,5,0.008,70,87.75957870483398,0,1
octmnist,5,5,0.008,71,88.12906694412231,0,1
octmnist,5,5,0.008,72,88.11009407043457,0,3
octmnist,5,5,0.008,73,87.7155442237854,3,3
octmnist,5,5,0.008,74,88.44739818572998,0,2
octmnist,5,5,0.008,75,88.27804017066956,0,2
octmnist,5,5,0.008,76,88.24477672576904,0,3
octmnist,5,5,0.008,77,88.17274570465088,0,2
octmnist,5,5,0.008,78,87.88504600524902,3,3
octmnist,5,5,0.008,79,87.856942653656,3,0
octmnist,5,5,0.008,80,87.51333522796631,3,0
octmnist,5,5,0.008,81,87.92125725746155,0,2
octmnist,5,5,0.008,82,88.07295989990234,3,3
octmnist,5,5,0.008,83,87.79336929321289,3,3
octmnist,5,5,0.008,84,87.6139464378357,2,3
octmnist,5,5,0.008,85,88.05007362365723,0,2
octmnist,5,5,0.008,86,88.48084878921509,0,1
octmnist,5,5,0.008,87,87.90248537063599,0,2
octmnist,5,5,0.008,88,87.359792470932,0,2
octmnist,5,5,0.008,89,88.31906652450562,0,0
octmnist,5,5,0.008,90,87.78915905952454,0,2
octmnist,5,5,0.008,91,87.89887928962708,0,3
octmnist,5,5,0.008,92,87.89397549629211,3,0
octmnist,5,5,0.008,93,88.94828867912292,3,1
octmnist,5,5,0.008,94,87.78240251541138,3,1
octmnist,5,5,0.008,95,87.99793577194214,0,1
octmnist,5,5,0.008,96,87.74451780319214,0,1
octmnist,5,5,0.008,97,88.45580387115479,0,3
octmnist,5,5,0.008,98,88.11348128318787,0,1
octmnist,5,5,0.008,99,87.5435254573822,3,0
octmnist,5,6,0.008,0,334.597460269928,0,3
octmnist,5,6,0.008,1,324.01017475128174,2,2
octmnist,5,6,0.008,2,323.73852014541626,3,3
octmnist,5,6,0.008,3,324.51290249824524,2,3
octmnist,5,6,0.008,4,323.67034935951233,0,0
octmnist,5,6,0.008,5,323.7321047782898,2,2
octmnist,5,6,0.008,6,322.8030686378479,1,1
octmnist,5,6,0.008,7,324.02019810676575,0,0
octmnist,5,6,0.008,8,325.55465054512024,0,0
octmnist,5,6,0.008,9,325.05971097946167,3,3
octmnist,5,6,0.008,10,323.46842670440674,0,0
octmnist,5,6,0.008,11,322.418648481369,0,1
octmnist,5,6,0.008,12,325.53950667381287,0,3
octmnist,5,6,0.008,13,323.92398023605347,2,3
octmnist,5,6,0.008,14,323.4189393520355,0,3
octmnist,5,6,0.008,15,323.106538772583,3,2
octmnist,5,6,0.008,16,325.274621963501,0,2
octmnist,5,6,0.008,17,323.6727526187897,0,3
octmnist,5,6,0.008,18,324.17284321784973,1,0
octmnist,5,6,0.008,19,323.3063018321991,0,2
octmnist,5,6,0.008,20,323.9849212169647,0,1
octmnist,5,6,0.008,21,323.01244616508484,0,0
octmnist,5,6,0.008,22,323.12816882133484,0,0
octmnist,5,6,0.008,23,323.3957533836365,0,3
octmnist,5,6,0.008,24,324.3942449092865,0,0
octmnist,5,6,0.008,25,323.0650427341461,0,0
octmnist,5,6,0.008,26,323.69547176361084,0,0
octmnist,5,6,0.008,27,324.0960626602173,0,1
octmnist,5,6,0.008,28,323.5085802078247,3,2
octmnist,5,6,0.008,29,324.05930852890015,0,1
