dataset,n_bits,rounding_threshold,p_error,image_idx,inference_time,prediction,real_tag
organcmnist,5,5,0.008,0,105.98795223236084,0,9
organcmnist,5,5,0.008,1,105.86388301849365,0,2
organcmnist,5,5,0.008,2,105.42250680923462,6,6
organcmnist,5,5,0.008,3,105.78044366836548,4,4
organcmnist,5,5,0.008,4,105.52147269248962,6,6
organcmnist,5,5,0.008,5,106.86335778236389,6,6
organcmnist,5,5,0.008,6,105.99801301956177,9,9
organcmnist,5,5,0.008,7,105.4667911529541,3,3
organcmnist,5,5,0.008,8,105.91753387451172,5,5
organcmnist,5,5,0.008,9,106.2848973274231,0,0
organcmnist,5,5,0.008,10,105.95461201667786,7,7
organcmnist,5,5,0.008,11,105.8598165512085,6,6
organcmnist,5,5,0.008,12,106.55379438400269,6,6
organcmnist,5,5,0.008,13,105.88265180587769,4,4
organcmnist,5,5,0.008,14,105.82763051986694,6,6
organcmnist,5,5,0.008,15,105.85143733024597,7,7
organcmnist,5,5,0.008,16,105.65721154212952,10,3
organcmnist,5,5,0.008,17,106.02869653701782,10,10
organcmnist,5,5,0.008,18,105.87366652488708,6,6
organcmnist,5,5,0.008,19,105.970449924469,6,5
organcmnist,5,5,0.008,20,105.9693341255188,7,7
organcmnist,5,5,0.008,21,105.7499532699585,10,10
organcmnist,5,5,0.008,22,105.873544216156,4,4
organcmnist,5,5,0.008,23,105.9184775352478,6,6
organcmnist,5,5,0.008,24,105.50656008720398,7,3
organcmnist,5,5,0.008,25,105.75605416297913,6,6
organcmnist,5,5,0.008,26,106.01004934310913,3,3
organcmnist,5,5,0.008,27,105.99555850028992,7,7
organcmnist,5,5,0.008,28,105.63078832626343,7,3
organcmnist,5,5,0.008,29,105.53693222999573,4,4
organcmnist,5,5,0.008,30,106.21546649932861,6,9
organcmnist,5,5,0.008,31,106.06973123550415,4,4
organcmnist,5,5,0.008,32,106.10000228881836,9,9
organcmnist,5,5,0.008,33,106.30692219734192,0,0
organcmnist,5,5,0.008,34,105.96193838119507,5,5
organcmnist,5,5,0.008,35,106.5885820388794,9,9
organcmnist,5,5,0.008,36,106.06230640411377,1,2
organcmnist,5,5,0.008,37,106.13225245475769,6,6
organcmnist,5,5,0.008,38,105.6816349029541,0,0
organcmnist,5,5,0.008,39,106.52266573905945,0,5
organcmnist,5,5,0.008,40,106.09326386451721,0,0
organcmnist,5,5,0.008,41,105.63712000846863,10,10
organcmnist,5,5,0.008,42,105.57210779190063,6,6
organcmnist,5,5,0.008,43,106.34268522262573,3,3
organcmnist,5,5,0.008,44,105.82715082168579,0,4
organcmnist,5,5,0.008,45,105.81689357757568,0,5
organcmnist,5,5,0.008,46,105.70661950111389,6,6
organcmnist,5,5,0.008,47,106.03319501876831,6,6
organcmnist,5,5,0.008,48,106.05555772781372,10,10
organcmnist,5,5,0.008,49,105.88309144973755,1,1
organcmnist,5,5,0.008,50,105.47238230705261,3,3
organcmnist,5,5,0.008,51,106.1206488609314,2,0
organcmnist,5,5,0.008,52,105.87685871124268,6,6
organcmnist,5,5,0.008,53,106.09578728675842,4,4
organcmnist,5,5,0.008,54,105.83749437332153,8,8
organcmnist,5,5,0.008,55,105.60982942581177,5,5
organcmnist,5,5,0.008,56,105.99637079238892,0,5
organcmnist,5,5,0.008,57,105.86798238754272,1,1
organcmnist,5,5,0.008,58,105.55791711807251,4,5
organcmnist,5,5,0.008,59,105.67796039581299,6,6
organcmnist,5,5,0.008,60,105.8667414188385,4,4
organcmnist,5,5,0.008,61,105.75816917419434,0,0
organcmnist,5,5,0.008,62,105.84104514122009,6,6
organcmnist,5,5,0.008,63,105.7951180934906,2,2
organcmnist,5,5,0.008,64,106.24048495292664,7,7
organcmnist,5,5,0.008,65,105.91058564186096,7,7
organcmnist,5,5,0.008,66,105.94714403152466,9,9
organcmnist,5,5,0.008,67,105.78420448303223,10,4
organcmnist,5,5,0.008,68,105.53192830085754,4,4
organcmnist,5,5,0.008,69,106.27201676368713,9,9
organcmnist,5,5,0.008,70,106.02276039123535,10,10
organcmnist,5,5,0.008,71,105.73416519165039,9,9
organcmnist,5,5,0.008,72,106.17531538009644,5,5
organcmnist,5,5,0.008,73,105.58362174034119,1,2
organcmnist,5,5,0.008,74,105.86562824249268,2,2
organcmnist,5,5,0.008,75,105.64670133590698,3,3
organcmnist,5,5,0.008,76,105.84848213195801,0,0
organcmnist,5,5,0.008,77,105.8130030632019,4,4
organcmnist,5,5,0.008,78,105.5128083229065,2,2
organcmnist,5,5,0.008,79,106.08289361000061,9,9
organcmnist,5,5,0.008,80,106.1034893989563,6,6
organcmnist,5,5,0.008,81,106.5727608203888,7,7
organcmnist,5,5,0.008,82,105.79928493499756,0,0
organcmnist,5,5,0.008,83,105.60064339637756,0,5
organcmnist,5,5,0.008,84,106.0879487991333,8,8
organcmnist,5,5,0.008,85,105.77740931510925,7,7
organcmnist,5,5,0.008,86,106.13211131095886,0,4
organcmnist,5,5,0.008,87,106.40832352638245,10,10
organcmnist,5,5,0.008,88,105.6116213798523,10,4
organcmnist,5,5,0.008,89,105.77429175376892,10,5
organcmnist,5,5,0.008,90,106.26569414138794,4,4
organcmnist,5,5,0.008,91,105.31050086021423,10,10
organcmnist,5,5,0.008,92,105.3001720905304,1,0
organcmnist,5,5,0.008,93,106.08296608924866,2,2
organcmnist,5,5,0.008,94,106.22300601005554,7,7
organcmnist,5,5,0.008,95,105.79141330718994,0,5
organcmnist,5,5,0.008,96,105.65795016288757,8,8
organcmnist,5,5,0.008,97,105.73545575141907,2,2
organcmnist,5,5,0.008,98,105.99182462692261,4,4
organcmnist,5,5,0.008,99,105.76840114593506,10,10
organcmnist,5,6,0.008,0,157.03528714179993,0,9
organcmnist,5,6,0.008,1,154.70588731765747,0,2
organcmnist,5,6,0.008,2,154.49783158302307,6,6
organcmnist,5,6,0.008,3,154.48019218444824,4,4
organcmnist,5,6,0.008,4,154.0556616783142,6,6
organcmnist,5,6,0.008,5,154.2865011692047,6,6
organcmnist,5,6,0.008,6,154.52500009536743,9,9
organcmnist,5,6,0.008,7,154.866637468338,3,3
organcmnist,5,6,0.008,8,154.39593863487244,5,5
organcmnist,5,6,0.008,9,154.86004734039307,0,0
organcmnist,5,6,0.008,10,153.53238320350647,7,7
organcmnist,5,6,0.008,11,154.37990403175354,6,6
organcmnist,5,6,0.008,12,154.52169060707092,6,6
organcmnist,5,6,0.008,13,154.00859260559082,4,4
organcmnist,5,6,0.008,14,154.86402225494385,6,6
organcmnist,5,6,0.008,15,154.00589084625244,7,7
organcmnist,5,6,0.008,16,155.2065818309784,10,3
organcmnist,5,6,0.008,17,154.73074054718018,10,10
