dataset,n_bits,rounding_threshold,p_error,image_idx,inference_time,prediction,real_tag
organsmnist,5,5,0.008,0,104.7835328578949,9,4
organsmnist,5,5,0.008,1,103.13273453712463,6,6
organsmnist,5,5,0.008,2,103.28792262077332,6,6
organsmnist,5,5,0.008,3,103.20395231246948,7,8
organsmnist,5,5,0.008,4,103.45865416526794,5,9
organsmnist,5,5,0.008,5,103.12821626663208,5,9
organsmnist,5,5,0.008,6,103.04701161384583,5,10
organsmnist,5,5,0.008,7,103.45555210113525,4,9
organsmnist,5,5,0.008,8,103.33772349357605,2,5
organsmnist,5,5,0.008,9,103.47870826721191,6,6
organsmnist,5,5,0.008,10,103.34994292259216,3,6
organsmnist,5,5,0.008,11,103.18893337249756,1,2
organsmnist,5,5,0.008,12,103.64105176925659,6,6
organsmnist,5,5,0.008,13,103.60008931159973,7,8
organsmnist,5,5,0.008,14,103.18493008613586,10,10
organsmnist,5,5,0.008,15,103.60719919204712,9,9
organsmnist,5,5,0.008,16,103.70038175582886,6,10
organsmnist,5,5,0.008,17,103.73818707466125,6,6
organsmnist,5,5,0.008,18,103.84250712394714,4,5
organsmnist,5,5,0.008,19,104.05158066749573,6,6
organsmnist,5,5,0.008,20,103.5027847290039,2,2
organsmnist,5,5,0.008,21,103.7997682094574,6,6
organsmnist,5,5,0.008,22,104.24525141716003,3,4
organsmnist,5,5,0.008,23,103.56719946861267,9,5
organsmnist,5,5,0.008,24,103.98373198509216,0,4
organsmnist,5,5,0.008,25,103.91692090034485,10,6
organsmnist,5,5,0.008,26,103.70530128479004,6,10
organsmnist,5,5,0.008,27,103.6281464099884,10,4
organsmnist,5,5,0.008,28,103.35611033439636,6,9
organsmnist,5,5,0.008,29,103.32404947280884,7,8
organsmnist,5,5,0.008,30,103.62039232254028,6,10
organsmnist,5,5,0.008,31,103.67159509658813,5,10
organsmnist,5,5,0.008,32,103.67585134506226,6,6
organsmnist,5,5,0.008,33,103.59016132354736,3,3
organsmnist,5,5,0.008,34,103.67981743812561,1,1
organsmnist,5,5,0.008,35,103.75106167793274,3,6
organsmnist,5,5,0.008,36,104.26485633850098,7,7
organsmnist,5,5,0.008,37,103.74275803565979,8,8
organsmnist,5,5,0.008,38,103.30029392242432,3,9
organsmnist,5,5,0.008,39,103.77376508712769,5,5
organsmnist,5,5,0.008,40,103.42286086082458,3,4
organsmnist,5,5,0.008,41,103.44191265106201,5,5
organsmnist,5,5,0.008,42,102.91679120063782,5,1
organsmnist,5,5,0.008,43,103.60713601112366,9,6
organsmnist,5,5,0.008,44,103.08152151107788,3,3
organsmnist,5,5,0.008,45,103.883216381073,6,6
organsmnist,5,5,0.008,46,103.94448685646057,5,5
organsmnist,5,5,0.008,47,104.62160325050354,3,6
organsmnist,5,5,0.008,48,103.36453247070312,0,4
organsmnist,5,5,0.008,49,103.70960998535156,9,9
organsmnist,5,5,0.008,50,103.69529318809509,9,9
organsmnist,5,5,0.008,51,103.77977967262268,6,6
organsmnist,5,5,0.008,52,103.33737063407898,6,6
organsmnist,5,5,0.008,53,103.75526261329651,9,9
organsmnist,5,5,0.008,54,103.86620140075684,6,4
organsmnist,5,5,0.008,55,103.78938221931458,6,6
organsmnist,5,5,0.008,56,103.7485499382019,8,8
organsmnist,5,5,0.008,57,103.47094750404358,5,4
organsmnist,5,5,0.008,58,103.47463583946228,10,10
organsmnist,5,5,0.008,59,103.68789982795715,3,9
organsmnist,5,5,0.008,60,104.22435760498047,6,0
organsmnist,5,5,0.008,61,103.36870169639587,6,4
organsmnist,5,5,0.008,62,103.88236880302429,1,2
organsmnist,5,5,0.008,63,104.36327767372131,9,10
organsmnist,5,5,0.008,64,103.64388799667358,7,3
organsmnist,5,5,0.008,65,104.2169177532196,7,7
organsmnist,5,5,0.008,66,104.10912775993347,4,5
organsmnist,5,5,0.008,67,104.06893372535706,6,6
organsmnist,5,5,0.008,68,104.12547302246094,0,2
organsmnist,5,5,0.008,69,103.6935727596283,1,2
organsmnist,5,5,0.008,70,103.84509372711182,6,6
organsmnist,5,5,0.008,71,104.16166925430298,2,2
organsmnist,5,5,0.008,72,103.47699046134949,9,9
organsmnist,5,5,0.008,73,103.6678307056427,1,9
organsmnist,5,5,0.008,74,103.45881485939026,7,7
organsmnist,5,5,0.008,75,103.86863231658936,10,10
organsmnist,5,5,0.008,76,103.78245687484741,7,8
organsmnist,5,5,0.008,77,104.26844215393066,10,9
organsmnist,5,5,0.008,78,104.25116467475891,6,10
organsmnist,5,5,0.008,79,104.09431719779968,0,9
organsmnist,5,5,0.008,80,104.03280258178711,7,7
organsmnist,5,5,0.008,81,103.91615056991577,0,2
organsmnist,5,5,0.008,82,103.70979022979736,5,9
organsmnist,5,5,0.008,83,103.52405953407288,10,0
organsmnist,5,5,0.008,84,103.71481132507324,4,8
organsmnist,5,5,0.008,85,103.56874537467957,6,6
organsmnist,5,5,0.008,86,104.3847975730896,3,10
organsmnist,5,5,0.008,87,103.53408622741699,6,6
organsmnist,5,5,0.008,88,103.57717514038086,4,4
organsmnist,5,5,0.008,89,103.6357934474945,3,9
organsmnist,5,5,0.008,90,103.59315848350525,0,1
organsmnist,5,5,0.008,91,104.06288695335388,5,6
organsmnist,5,5,0.008,92,103.27826833724976,10,6
organsmnist,5,5,0.008,93,104.08660984039307,9,4
organsmnist,5,5,0.008,94,103.39194226264954,9,10
organsmnist,5,5,0.008,95,103.71210241317749,1,5
organsmnist,5,5,0.008,96,103.65799832344055,10,5
organsmnist,5,5,0.008,97,103.66274094581604,6,6
organsmnist,5,5,0.008,98,103.8887345790863,6,10
organsmnist,5,5,0.008,99,103.57113027572632,4,9
organsmnist,5,6,0.008,0,157.8496859073639,4,4
organsmnist,5,6,0.008,1,155.21898770332336,6,6
organsmnist,5,6,0.008,2,155.05152487754822,6,6
organsmnist,5,6,0.008,3,154.54910254478455,7,8
organsmnist,5,6,0.008,4,154.1361801624298,5,9
organsmnist,5,6,0.008,5,155.04157733917236,5,9
organsmnist,5,6,0.008,6,155.37369871139526,5,10
organsmnist,5,6,0.008,7,154.7972104549408,0,9
organsmnist,5,6,0.008,8,156.45370411872864,9,5
organsmnist,5,6,0.008,9,155.92628741264343,6,6
organsmnist,5,6,0.008,10,155.0904312133789,3,6
organsmnist,5,6,0.008,11,154.96662020683289,6,2
organsmnist,5,6,0.008,12,155.19789791107178,6,6
