dataset,n_bits,rounding_threshold,p_error,image_idx,inference_time,prediction,real_tag
pneumoniamnist,5,5,0.008,0,112.08266425132751,1,1
pneumoniamnist,5,5,0.008,1,108.45065331459045,1,0
pneumoniamnist,5,5,0.008,2,107.52825403213501,1,1
pneumoniamnist,5,5,0.008,3,107.47500252723694,0,0
pneumoniamnist,5,5,0.008,4,108.12411570549011,1,1
pneumoniamnist,5,5,0.008,5,107.82330465316772,1,1
pneumoniamnist,5,5,0.008,6,107.8101396560669,1,1
pneumoniamnist,5,5,0.008,7,108.30098271369934,1,1
pneumoniamnist,5,5,0.008,8,108.0324981212616,1,1
pneumoniamnist,5,5,0.008,9,108.45121550559998,1,0
pneumoniamnist,5,5,0.008,10,107.68844652175903,1,1
pneumoniamnist,5,5,0.008,11,107.77572631835938,1,1
pneumoniamnist,5,5,0.008,12,107.81108713150024,1,1
pneumoniamnist,5,5,0.008,13,108.1902961730957,1,1
pneumoniamnist,5,5,0.008,14,108.87463235855103,1,1
pneumoniamnist,5,5,0.008,15,108.9013159275055,1,1
pneumoniamnist,5,5,0.008,16,107.85367441177368,1,1
pneumoniamnist,5,5,0.008,17,108.09754848480225,1,1
pneumoniamnist,5,5,0.008,18,107.85923671722412,1,1
pneumoniamnist,5,5,0.008,19,107.93144488334656,0,0
pneumoniamnist,5,5,0.008,20,108.25230741500854,0,0
pneumoniamnist,5,5,0.008,21,108.22112393379211,1,1
pneumoniamnist,5,5,0.008,22,108.45483446121216,1,1
pneumoniamnist,5,5,0.008,23,107.47702074050903,1,1
pneumoniamnist,5,5,0.008,24,107.77488374710083,1,1
pneumoniamnist,5,5,0.008,25,108.31729197502136,0,0
pneumoniamnist,5,5,0.008,26,108.0652551651001,1,1
pneumoniamnist,5,5,0.008,27,107.96126413345337,0,0
pneumoniamnist,5,5,0.008,28,108.06442856788635,1,0
pneumoniamnist,5,5,0.008,29,107.61542296409607,1,1
pneumoniamnist,5,5,0.008,30,108.26450681686401,1,0
pneumoniamnist,5,5,0.008,31,107.46212840080261,1,1
pneumoniamnist,5,5,0.008,32,108.0207109451294,1,1
pneumoniamnist,5,5,0.008,33,107.56014490127563,1,1
pneumoniamnist,5,5,0.008,34,109.02954053878784,1,1
pneumoniamnist,5,5,0.008,35,108.39172077178955,1,1
pneumoniamnist,5,5,0.008,36,108.14040756225586,0,0
pneumoniamnist,5,5,0.008,37,107.80500292778015,1,1
pneumoniamnist,5,5,0.008,38,107.62937903404236,0,0
pneumoniamnist,5,5,0.008,39,107.51234674453735,1,0
pneumoniamnist,5,5,0.008,40,108.53321528434753,1,1
pneumoniamnist,5,5,0.008,41,108.09617209434509,0,0
pneumoniamnist,5,5,0.008,42,107.67045092582703,0,0
pneumoniamnist,5,5,0.008,43,108.78202843666077,1,0
pneumoniamnist,5,5,0.008,44,108.71009135246277,1,0
pneumoniamnist,5,5,0.008,45,107.76295733451843,1,1
pneumoniamnist,5,5,0.008,46,107.87377786636353,0,0
pneumoniamnist,5,5,0.008,47,108.19004392623901,1,1
pneumoniamnist,5,5,0.008,48,107.88347887992859,1,1
pneumoniamnist,5,5,0.008,49,108.07130193710327,1,1
pneumoniamnist,5,5,0.008,50,107.83627462387085,0,0
pneumoniamnist,5,5,0.008,51,108.57969284057617,1,1
pneumoniamnist,5,5,0.008,52,107.93598651885986,0,0
pneumoniamnist,5,5,0.008,53,108.38365960121155,1,1
pneumoniamnist,5,5,0.008,54,108.74050998687744,0,0
pneumoniamnist,5,5,0.008,55,108.15943622589111,0,0
pneumoniamnist,5,5,0.008,56,108.49283599853516,1,1
pneumoniamnist,5,5,0.008,57,107.85645484924316,0,0
pneumoniamnist,5,5,0.008,58,107.88245797157288,0,0
pneumoniamnist,5,5,0.008,59,108.180983543396,1,1
pneumoniamnist,5,5,0.008,60,108.18192315101624,0,0
pneumoniamnist,5,5,0.008,61,107.8336329460144,1,0
pneumoniamnist,5,5,0.008,62,108.61262726783752,0,0
pneumoniamnist,5,5,0.008,63,108.71150517463684,1,1
pneumoniamnist,5,5,0.008,64,108.35255789756775,1,1
pneumoniamnist,5,5,0.008,65,107.61590576171875,1,1
pneumoniamnist,5,5,0.008,66,109.31326484680176,0,0
pneumoniamnist,5,5,0.008,67,107.74956941604614,1,0
pneumoniamnist,5,5,0.008,68,108.19161367416382,1,0
pneumoniamnist,5,5,0.008,69,108.01354122161865,0,0
pneumoniamnist,5,5,0.008,70,107.85315465927124,1,1
pneumoniamnist,5,5,0.008,71,107.74459409713745,1,0
pneumoniamnist,5,5,0.008,72,108.00411105155945,0,0
pneumoniamnist,5,5,0.008,73,109.00885844230652,1,1
pneumoniamnist,5,5,0.008,74,108.33299946784973,1,1
pneumoniamnist,5,5,0.008,75,108.32042288780212,1,1
pneumoniamnist,5,5,0.008,76,108.83061504364014,0,1
pneumoniamnist,5,5,0.008,77,107.81280493736267,0,0
pneumoniamnist,5,5,0.008,78,108.39663743972778,1,0
pneumoniamnist,5,5,0.008,79,108.21308660507202,1,1
pneumoniamnist,5,5,0.008,80,108.28259539604187,1,1
pneumoniamnist,5,5,0.008,81,108.01452541351318,1,1
pneumoniamnist,5,5,0.008,82,108.15948271751404,1,1
pneumoniamnist,5,5,0.008,83,107.81434202194214,1,0
pneumoniamnist,5,5,0.008,84,108.64128732681274,0,0
pneumoniamnist,5,5,0.008,85,107.53288865089417,0,0
pneumoniamnist,5,5,0.008,86,107.96488237380981,0,0
pneumoniamnist,5,5,0.008,87,108.07035875320435,1,1
pneumoniamnist,5,5,0.008,88,108.50409412384033,0,1
pneumoniamnist,5,5,0.008,89,108.24355435371399,0,0
pneumoniamnist,5,5,0.008,90,108.12287783622742,1,1
pneumoniamnist,5,5,0.008,91,107.85504078865051,1,0
pneumoniamnist,5,5,0.008,92,108.22980403900146,1,1
pneumoniamnist,5,5,0.008,93,107.92714214324951,0,0
pneumoniamnist,5,5,0.008,94,108.35275530815125,1,1
pneumoniamnist,5,5,0.008,95,108.08725452423096,1,1
pneumoniamnist,5,5,0.008,96,108.14952754974365,1,1
pneumoniamnist,5,5,0.008,97,107.86176323890686,0,0
pneumoniamnist,5,5,0.008,98,108.27372360229492,0,0
pneumoniamnist,5,5,0.008,99,107.36448812484741,1,1
pneumoniamnist,5,6,0.008,0,158.9559199810028,1,1
pneumoniamnist,5,6,0.008,1,151.6497073173523,1,0
pneumoniamnist,5,6,0.008,2,151.85803842544556,1,1
pneumoniamnist,5,6,0.008,3,151.85803484916687,0,0
pneumoniamnist,5,6,0.008,4,152.33418989181519,1,1
pneumoniamnist,5,6,0.008,5,151.00036573410034,1,1
pneumoniamnist,5,6,0.008,6,151.83161878585815,1,1
pneumoniamnist,5,6,0.008,7,152.1009635925293,1,1
pneumoniamnist,5,6,0.008,8,152.41371250152588,1,1
pneumoniamnist,5,6,0.008,9,152.0290172100067,1,0
pneumoniamnist,5,6,0.008,10,151.88356733322144,1,1
pneumoniamnist,5,6,0.008,11,151.33469343185425,1,1
pneumoniamnist,5,6,0.008,12,151.4903745651245,1,1
pneumoniamnist,5,6,0.008,13,151.25962018966675,1,1
pneumoniamnist,5,6,0.008,14,151.51858282089233,1,1
pneumoniamnist,5,6,0.008,15,150.93972659111023,1,1
pneumoniamnist,5,6,0.008,16,151.43742561340332,1,1
pneumoniamnist,5,6,0.008,17,151.13336086273193,1,1
pneumoniamnist,5,6,0.008,18,151.14652132987976,1,1
pneumoniamnist,5,6,0.008,19,151.1724283695221,0,0
pneumoniamnist,5,6,0.008,20,151.38518977165222,0,0
pneumoniamnist,5,6,0.008,21,150.94854426383972,1,1
pneumoniamnist,5,6,0.008,22,151.0378453731537,1,1
pneumoniamnist,5,6,0.008,23,150.79359912872314,1,1
pneumoniamnist,5,6,0.008,24,151.05798864364624,1,1
pneumoniamnist,5,6,0.008,25,152.6181230545044,0,0
pneumoniamnist,5,6,0.008,26,151.99702405929565,1,1
pneumoniamnist,5,6,0.008,27,150.9152636528015,0,0
pneumoniamnist,5,6,0.008,28,150.87717604637146,1,0
pneumoniamnist,5,6,0.008,29,151.33059287071228,1,1
pneumoniamnist,5,6,0.008,30,151.05543303489685,1,0
pneumoniamnist,5,6,0.008,31,152.0974669456482,1,1
pneumoniamnist,5,6,0.008,32,151.7228810787201,1,1
pneumoniamnist,5,6,0.008,33,151.33568406105042,1,1
pneumoniamnist,5,6,0.008,34,150.95864391326904,1,1
pneumoniamnist,5,6,0.008,35,150.7594165802002,1,1
pneumoniamnist,5,6,0.008,36,151.67860913276672,0,0
pneumoniamnist,5,6,0.008,37,151.75804471969604,1,1
pneumoniamnist,5,6,0.008,38,151.0226972103119,0,0
pneumoniamnist,5,6,0.008,39,151.24066138267517,1,0
pneumoniamnist,5,6,0.008,40,151.3769052028656,1,1
pneumoniamnist,5,6,0.008,41,151.94982743263245,1,0
pneumoniamnist,5,6,0.008,42,152.253155708313,0,0
pneumoniamnist,5,6,0.008,43,151.80470252037048,1,0
pneumoniamnist,5,6,0.008,44,151.78855443000793,1,0
pneumoniamnist,5,6,0.008,45,151.90533423423767,1,1
pneumoniamnist,5,6,0.008,46,151.48144912719727,0,0
pneumoniamnist,5,6,0.008,47,151.52723860740662,1,1
pneumoniamnist,5,6,0.008,48,150.99142932891846,1,1
pneumoniamnist,5,6,0.008,49,151.43713450431824,1,1
pneumoniamnist,5,6,0.008,50,151.99991393089294,0,0
pneumoniamnist,5,6,0.008,51,151.21780467033386,1,1
pneumoniamnist,5,6,0.008,52,150.7922260761261,0,0
pneumoniamnist,5,6,0.008,53,151.4998095035553,1,1
pneumoniamnist,5,6,0.008,54,151.62602138519287,0,0
pneumoniamnist,5,6,0.008,55,152.0802230834961,0,0
pneumoniamnist,5,6,0.008,56,151.6466827392578,1,1
pneumoniamnist,5,6,0.008,57,151.36069059371948,1,0
pneumoniamnist,5,6,0.008,58,151.35982275009155,1,0
pneumoniamnist,5,6,0.008,59,151.65250706672668,1,1
pneumoniamnist,5,6,0.008,60,151.9461705684662,0,0
pneumoniamnist,5,6,0.008,61,151.56911039352417,1,0
pneumoniamnist,5,6,0.008,62,152.0484983921051,0,0
pneumoniamnist,5,6,0.008,63,151.81091618537903,1,1
pneumoniamnist,5,6,0.008,64,151.12002968788147,1,1
pneumoniamnist,5,6,0.008,65,151.62176895141602,1,1
pneumoniamnist,5,6,0.008,66,151.4673352241516,0,0
pneumoniamnist,5,6,0.008,67,151.09911918640137,1,0
pneumoniamnist,5,6,0.008,68,151.17203044891357,1,0
pneumoniamnist,5,6,0.008,69,151.31765580177307,0,0
pneumoniamnist,5,6,0.008,70,151.7236077785492,1,1
pneumoniamnist,5,6,0.008,71,151.3844711780548,1,0
pneumoniamnist,5,6,0.008,72,151.05850315093994,1,0
pneumoniamnist,5,6,0.008,73,151.35759687423706,1,1
pneumoniamnist,5,6,0.008,74,151.32466506958008,1,1
pneumoniamnist,5,6,0.008,75,151.02553153038025,1,1
pneumoniamnist,5,6,0.008,76,151.1475396156311,0,1
pneumoniamnist,5,6,0.008,77,151.15586805343628,0,0
pneumoniamnist,5,6,0.008,78,151.9526402950287,1,0
pneumoniamnist,5,6,0.008,79,151.589857339859,1,1
pneumoniamnist,5,6,0.008,80,152.13470649719238,1,1
pneumoniamnist,5,6,0.008,81,151.15779376029968,1,1
pneumoniamnist,5,6,0.008,82,150.95713233947754,1,1
pneumoniamnist,5,6,0.008,83,151.47275805473328,1,0
pneumoniamnist,5,6,0.008,84,150.9343137741089,0,0
pneumoniamnist,5,6,0.008,85,151.17087817192078,0,0
pneumoniamnist,5,6,0.008,86,151.48235440254211,0,0
pneumoniamnist,5,6,0.008,87,151.3690791130066,1,1
pneumoniamnist,5,6,0.008,88,151.7202181816101,0,1
pneumoniamnist,5,6,0.008,89,151.55694270133972,0,0
pneumoniamnist,5,6,0.008,90,151.68361020088196,1,1
pneumoniamnist,5,6,0.008,91,151.14965653419495,1,0
pneumoniamnist,5,6,0.008,92,150.99268865585327,1,1
pneumoniamnist,5,6,0.008,93,152.37654995918274,0,0
pneumoniamnist,5,6,0.008,94,152.14513611793518,1,1
pneumoniamnist,5,6,0.008,95,151.2796642780304,1,1
pneumoniamnist,5,6,0.008,96,152.1840558052063,1,1
pneumoniamnist,5,6,0.008,97,151.42889785766602,0,0
pneumoniamnist,5,6,0.008,98,151.36308884620667,0,0
pneumoniamnist,5,6,0.008,99,151.5594940185547,1,1
pneumoniamnist,6,5,0.008,0,108.05930161476135,1,1
pneumoniamnist,6,5,0.008,1,106.0664610862732,1,0
pneumoniamnist,6,5,0.008,2,106.30449366569519,1,1
pneumoniamnist,6,5,0.008,3,105.88115501403809,0,0
pneumoniamnist,6,5,0.008,4,106.16465210914612,1,1
pneumoniamnist,6,5,0.008,5,105.45408082008362,1,1
pneumoniamnist,6,5,0.008,6,107.22352981567383,1,1
pneumoniamnist,6,5,0.008,7,106.21432042121887,1,1
pneumoniamnist,6,5,0.008,8,105.70413613319397,1,1
pneumoniamnist,6,5,0.008,9,106.23616170883179,1,0
pneumoniamnist,6,5,0.008,10,106.3461446762085,1,1
pneumoniamnist,6,5,0.008,11,106.90974187850952,1,1
pneumoniamnist,6,5,0.008,12,106.06916046142578,1,1
pneumoniamnist,6,5,0.008,13,106.55305242538452,1,1
pneumoniamnist,6,5,0.008,14,106.39168787002563,1,1
pneumoniamnist,6,5,0.008,15,106.54656839370728,1,1
pneumoniamnist,6,5,0.008,16,106.89976596832275,1,1
pneumoniamnist,6,5,0.008,17,106.33059859275818,1,1
pneumoniamnist,6,5,0.008,18,106.74652695655823,1,1
pneumoniamnist,6,5,0.008,19,107.03017830848694,0,0
pneumoniamnist,6,5,0.008,20,105.9376130104065,0,0
pneumoniamnist,6,5,0.008,21,105.99548625946045,1,1
pneumoniamnist,6,5,0.008,22,106.13881182670593,1,1
pneumoniamnist,6,5,0.008,23,106.12933087348938,1,1
pneumoniamnist,6,5,0.008,24,105.71304225921631,1,1
pneumoniamnist,6,5,0.008,25,105.73854947090149,1,0
pneumoniamnist,6,5,0.008,26,106.89431023597717,1,1
pneumoniamnist,6,5,0.008,27,106.50638151168823,0,0
pneumoniamnist,6,5,0.008,28,106.04569005966187,1,0
pneumoniamnist,6,5,0.008,29,106.41413354873657,1,1
pneumoniamnist,6,5,0.008,30,107.43296527862549,1,0
pneumoniamnist,6,5,0.008,31,106.0094084739685,1,1
pneumoniamnist,6,5,0.008,32,105.88136076927185,1,1
pneumoniamnist,6,5,0.008,33,106.21167707443237,1,1
pneumoniamnist,6,5,0.008,34,106.59757447242737,1,1
pneumoniamnist,6,5,0.008,35,105.61827063560486,1,1
pneumoniamnist,6,5,0.008,36,105.88732814788818,0,0
pneumoniamnist,6,5,0.008,37,105.41231203079224,1,1
pneumoniamnist,6,5,0.008,38,106.14777326583862,0,0
pneumoniamnist,6,5,0.008,39,106.09002447128296,1,0
pneumoniamnist,6,5,0.008,40,105.61585807800293,1,1
