dataset,n_bits,rounding_threshold,p_error,image_idx,inference_time,prediction,real_tag
tissuemnist,5,5,0.008,0,113.07096362113953,6,0
tissuemnist,5,5,0.008,1,108.61889219284058,0,6
tissuemnist,5,5,0.008,2,107.24400520324707,0,7
tissuemnist,5,5,0.008,3,107.13856220245361,0,0
tissuemnist,5,5,0.008,4,107.52556943893433,6,7
tissuemnist,5,5,0.008,5,107.38134241104126,0,7
tissuemnist,5,5,0.008,6,107.78424167633057,6,6
tissuemnist,5,5,0.008,7,107.63949537277222,7,6
tissuemnist,5,5,0.008,8,107.78407120704651,6,0
tissuemnist,5,5,0.008,9,107.67145586013794,6,0
tissuemnist,5,5,0.008,10,107.22196054458618,7,6
tissuemnist,5,5,0.008,11,108.15554118156433,0,1
tissuemnist,5,5,0.008,12,107.3152756690979,6,3
tissuemnist,5,5,0.008,13,107.49447894096375,6,4
tissuemnist,5,5,0.008,14,107.70643186569214,0,6
tissuemnist,5,5,0.008,15,108.0786645412445,0,6
tissuemnist,5,5,0.008,16,107.7387306690216,0,0
tissuemnist,5,5,0.008,17,108.69180393218994,6,0
tissuemnist,5,5,0.008,18,107.66061091423035,0,6
tissuemnist,5,5,0.008,19,107.7522566318512,0,7
tissuemnist,5,5,0.008,20,108.46665406227112,0,3
tissuemnist,5,5,0.008,21,107.65773677825928,7,7
tissuemnist,5,5,0.008,22,108.22731900215149,0,7
tissuemnist,5,5,0.008,23,108.53004240989685,0,0
tissuemnist,5,5,0.008,24,108.22867202758789,7,4
tissuemnist,5,5,0.008,25,108.55892539024353,0,4
tissuemnist,5,5,0.008,26,107.72873997688293,4,4
tissuemnist,5,5,0.008,27,108.06102967262268,7,2
tissuemnist,5,5,0.008,28,107.3270423412323,0,0
tissuemnist,5,5,0.008,29,107.87626767158508,6,5
tissuemnist,5,5,0.008,30,107.77000832557678,1,0
tissuemnist,5,5,0.008,31,108.16885185241699,0,0
tissuemnist,5,5,0.008,32,107.59433150291443,7,6
tissuemnist,5,5,0.008,33,107.68142485618591,0,6
tissuemnist,5,5,0.008,34,107.8488838672638,0,0
tissuemnist,5,5,0.008,35,107.70100998878479,0,6
tissuemnist,5,5,0.008,36,107.60686564445496,0,0
tissuemnist,5,5,0.008,37,107.28412389755249,4,0
tissuemnist,5,5,0.008,38,107.78422784805298,0,6
tissuemnist,5,5,0.008,39,107.64241766929626,6,1
tissuemnist,5,5,0.008,40,107.8173553943634,0,3
tissuemnist,5,5,0.008,41,107.56637048721313,0,0
tissuemnist,5,5,0.008,42,107.7846245765686,0,6
tissuemnist,5,5,0.008,43,107.883868932724,6,6
tissuemnist,5,5,0.008,44,107.6576189994812,0,7
tissuemnist,5,5,0.008,45,107.64696550369263,0,0
tissuemnist,5,5,0.008,46,107.70254111289978,5,7
tissuemnist,5,5,0.008,47,107.98579430580139,0,6
tissuemnist,5,5,0.008,48,107.23561191558838,0,7
tissuemnist,5,5,0.008,49,108.31785011291504,0,7
tissuemnist,5,5,0.008,50,107.70122241973877,0,0
tissuemnist,5,5,0.008,51,107.64472770690918,0,0
tissuemnist,5,5,0.008,52,107.87479209899902,6,1
tissuemnist,5,5,0.008,53,108.29227614402771,4,2
tissuemnist,5,5,0.008,54,107.6413516998291,0,4
tissuemnist,5,5,0.008,55,107.95862936973572,0,6
tissuemnist,5,5,0.008,56,107.99770712852478,0,7
tissuemnist,5,5,0.008,57,107.71987199783325,0,7
tissuemnist,5,5,0.008,58,107.06628036499023,0,0
tissuemnist,5,5,0.008,59,107.76918935775757,6,6
tissuemnist,5,5,0.008,60,107.44652462005615,0,6
tissuemnist,5,5,0.008,61,108.27050757408142,6,3
tissuemnist,5,5,0.008,62,107.62883377075195,7,6
tissuemnist,5,5,0.008,63,107.86206555366516,6,6
tissuemnist,5,5,0.008,64,108.0340301990509,0,2
tissuemnist,5,5,0.008,65,108.04824662208557,6,0
tissuemnist,5,5,0.008,66,108.72207117080688,7,0
tissuemnist,5,5,0.008,67,107.51471662521362,6,0
tissuemnist,5,5,0.008,68,108.12177348136902,0,0
tissuemnist,5,5,0.008,69,107.21715378761292,0,0
tissuemnist,5,5,0.008,70,107.48861813545227,0,4
tissuemnist,5,5,0.008,71,107.94661235809326,0,0
tissuemnist,5,5,0.008,72,107.8156270980835,0,2
tissuemnist,5,5,0.008,73,107.78976202011108,0,0
tissuemnist,5,5,0.008,74,107.64208149909973,0,0
tissuemnist,5,5,0.008,75,107.81602573394775,6,0
tissuemnist,5,5,0.008,76,108.15841484069824,7,6
tissuemnist,5,5,0.008,77,107.83399152755737,0,6
tissuemnist,5,5,0.008,78,107.85253167152405,0,0
tissuemnist,5,5,0.008,79,107.84231901168823,0,3
tissuemnist,5,5,0.008,80,107.98145818710327,5,3
tissuemnist,5,5,0.008,81,107.6416175365448,0,0
tissuemnist,5,5,0.008,82,107.63658928871155,6,6
tissuemnist,5,5,0.008,83,107.36125326156616,6,0
tissuemnist,5,5,0.008,84,108.19238257408142,6,6
tissuemnist,5,5,0.008,85,107.8128354549408,3,6
tissuemnist,5,5,0.008,86,107.86439990997314,6,0
tissuemnist,5,5,0.008,87,107.83644580841064,6,0
tissuemnist,5,5,0.008,88,107.98582124710083,0,5
tissuemnist,5,5,0.008,89,107.51284265518188,1,3
tissuemnist,5,5,0.008,90,107.80198550224304,6,1
tissuemnist,5,5,0.008,91,107.587406873703,2,6
tissuemnist,5,5,0.008,92,107.70529913902283,0,3
tissuemnist,5,5,0.008,93,108.24025130271912,0,1
tissuemnist,5,5,0.008,94,107.1572904586792,6,0
tissuemnist,5,5,0.008,95,107.7131621837616,0,6
tissuemnist,5,5,0.008,96,107.3720350265503,6,6
tissuemnist,5,5,0.008,97,107.94244480133057,7,6
tissuemnist,5,5,0.008,98,108.33064985275269,6,0
tissuemnist,5,5,0.008,99,108.54496216773987,3,0
tissuemnist,5,6,0.008,0,157.9104266166687,6,0
tissuemnist,5,6,0.008,1,155.00362586975098,6,6
tissuemnist,5,6,0.008,2,154.95967626571655,6,7
