dataset,n_bits,rounding_threshold,p_error,image_idx,inference_time,prediction,real_tag
dermamnist,5,5,0.008,0,194.6863889694214,2,5
dermamnist,5,5,0.008,1,194.25387477874756,5,3
dermamnist,5,5,0.008,2,192.18659687042236,2,4
dermamnist,5,5,0.008,3,195.18584489822388,2,0
dermamnist,5,5,0.008,4,200.38870978355408,4,5
dermamnist,5,5,0.008,5,186.79872798919678,5,5
dermamnist,5,5,0.008,6,201.89164924621582,5,5
dermamnist,5,5,0.008,7,201.46473813056946,5,4
dermamnist,5,5,0.008,8,197.04914784431458,5,5
dermamnist,5,5,0.008,9,205.14957809448242,2,2
dermamnist,5,5,0.008,10,227.9942021369934,5,1
dermamnist,5,5,0.008,11,193.7498598098755,5,5
dermamnist,5,5,0.008,12,206.58496928215027,4,4
dermamnist,5,5,0.008,13,192.8797628879547,5,5
dermamnist,5,5,0.008,14,195.7011170387268,5,5
dermamnist,5,5,0.008,15,191.6439061164856,4,4
dermamnist,5,5,0.008,16,192.51254510879517,5,4
dermamnist,5,5,0.008,17,218.55867791175842,2,2
dermamnist,5,5,0.008,18,198.7924427986145,5,5
dermamnist,5,5,0.008,19,194.2898190021515,5,2
dermamnist,5,5,0.008,20,193.95588898658752,4,5
dermamnist,5,5,0.008,21,194.18768215179443,4,5
dermamnist,5,5,0.008,22,187.72061705589294,5,5
dermamnist,5,5,0.008,23,199.29636788368225,5,5
dermamnist,5,5,0.008,24,189.32559394836426,5,5
dermamnist,5,5,0.008,25,204.37657189369202,5,5
dermamnist,5,5,0.008,26,191.84560680389404,5,5
dermamnist,5,5,0.008,27,190.29700303077698,5,5
dermamnist,5,5,0.008,28,189.54586482048035,5,5
dermamnist,5,5,0.008,29,193.13750982284546,5,2
dermamnist,5,5,0.008,30,194.06687593460083,5,5
dermamnist,5,5,0.008,31,219.34995102882385,5,5
dermamnist,5,5,0.008,32,190.52523517608643,5,4
dermamnist,5,5,0.008,33,193.39712977409363,4,5
dermamnist,5,5,0.008,34,202.77424693107605,2,2
dermamnist,5,5,0.008,35,192.19701313972473,4,2
dermamnist,5,5,0.008,36,193.13188791275024,2,2
dermamnist,5,5,0.008,37,209.63950204849243,5,5
dermamnist,5,5,0.008,38,198.58643198013306,2,2
dermamnist,5,5,0.008,39,225.0626802444458,2,1
dermamnist,5,5,0.008,40,198.5294327735901,2,5
dermamnist,5,5,0.008,41,201.4013798236847,5,5
dermamnist,5,5,0.008,42,199.78641819953918,5,5
dermamnist,5,5,0.008,43,192.67188692092896,5,5
dermamnist,5,5,0.008,44,208.07243013381958,5,5
dermamnist,5,5,0.008,45,201.9223186969757,2,1
dermamnist,5,5,0.008,46,202.73161816596985,5,5
dermamnist,5,5,0.008,47,218.63777208328247,5,5
