dataset,n_bits,rounding_threshold,p_error,image_idx,inference_time,prediction,real_tag
pathmnist,5,5,0.008,0,507.6109540462494,1,8
pathmnist,5,5,0.008,1,515.8428099155426,1,4
pathmnist,5,5,0.008,2,400.9120020866394,1,4
pathmnist,5,5,0.008,3,402.6295280456543,7,8
pathmnist,5,5,0.008,4,397.94920015335083,1,4
pathmnist,5,5,0.008,5,398.1931929588318,1,4
pathmnist,5,5,0.008,6,470.3723337650299,1,8
pathmnist,5,5,0.008,7,533.0179281234741,0,0
pathmnist,5,5,0.008,8,536.7880349159241,1,6
pathmnist,5,5,0.008,9,530.2209270000458,0,8
pathmnist,5,5,0.008,10,538.4581971168518,1,8
pathmnist,5,5,0.008,11,527.0627059936523,6,6
pathmnist,5,5,0.008,12,523.7785687446594,6,8
pathmnist,5,5,0.008,13,521.2937550544739,1,6
pathmnist,5,5,0.008,14,520.9754049777985,6,0
pathmnist,5,5,0.008,15,520.4124219417572,1,5
pathmnist,5,5,0.008,16,520.0142850875854,1,0
pathmnist,5,5,0.008,17,524.0958199501038,2,2
pathmnist,5,5,0.008,18,481.8578917980194,0,0
pathmnist,5,5,0.008,19,483.81209206581116,2,5
pathmnist,5,5,0.008,20,480.5693619251251,3,2
pathmnist,5,5,0.008,21,459.57833886146545,1,0
pathmnist,5,5,0.008,22,356.72552704811096,1,1
pathmnist,5,5,0.008,23,361.2604010105133,6,8
pathmnist,5,5,0.008,24,356.6222126483917,3,8
pathmnist,5,5,0.008,25,357.7610170841217,6,0
pathmnist,5,5,0.008,26,387.74223923683167,1,1
pathmnist,5,5,0.008,27,472.02239418029785,1,6
pathmnist,5,5,0.008,28,471.17886185646057,6,6
pathmnist,5,5,0.008,29,469.44410514831543,1,0
pathmnist,5,5,0.008,30,452.0016279220581,6,0
pathmnist,5,5,0.008,31,434.85088896751404,1,8
pathmnist,5,5,0.008,32,431.7114689350128,6,0
pathmnist,5,5,0.008,33,442.8202061653137,1,0
pathmnist,5,5,0.008,34,444.85124015808105,1,1
pathmnist,5,5,0.008,35,444.78227829933167,5,7
pathmnist,5,5,0.008,36,489.7308669090271,1,5
pathmnist,5,5,0.008,37,450.45027899742126,6,3
pathmnist,5,5,0.008,38,445.04443287849426,4,4
pathmnist,5,5,0.008,39,452.4440016746521,4,6
pathmnist,5,5,0.008,40,446.0051119327545,7,5
pathmnist,5,5,0.008,41,443.1102089881897,6,6
pathmnist,5,5,0.008,42,437.27278780937195,6,4
pathmnist,5,5,0.008,43,442.4153869152069,1,8
pathmnist,5,5,0.008,44,408.4133231639862,0,0
pathmnist,5,5,0.008,45,441.2105710506439,6,3
pathmnist,5,5,0.008,46,454.1598677635193,6,6
pathmnist,5,5,0.008,47,454.34706115722656,3,2
pathmnist,5,5,0.008,48,459.01593923568726,4,6
pathmnist,5,5,0.008,49,460.8029909133911,1,7
pathmnist,5,6,0.008,0,1251.7502188682556,8,8
pathmnist,5,6,0.008,1,1231.595146894455,4,4
pathmnist,5,6,0.008,2,1250.2549920082092,6,4
pathmnist,5,6,0.008,3,1097.0709240436554,6,8
pathmnist,5,6,0.008,4,834.6242229938507,1,4
pathmnist,5,6,0.008,5,838.9625489711761,1,4
pathmnist,5,6,0.008,6,826.7901990413666,7,8
pathmnist,5,6,0.008,7,821.6142168045044,0,0
pathmnist,5,6,0.008,8,812.7598128318787,4,6
pathmnist,5,6,0.008,9,817.4572150707245,6,8
pathmnist,5,6,0.008,10,808.9666810035706,6,8
pathmnist,5,6,0.008,11,814.4245691299438,6,6
pathmnist,5,6,0.008,12,829.5722110271454,8,8
pathmnist,5,6,0.008,13,949.2482278347015,6,6
pathmnist,5,6,0.008,14,1220.1185669898987,0,0
pathmnist,5,6,0.008,15,1223.688176870346,5,5
pathmnist,5,6,0.008,16,1227.3698449134827,0,0
pathmnist,5,6,0.008,17,1228.343385219574,2,2
pathmnist,5,6,0.008,18,1224.0204589366913,0,0
pathmnist,5,6,0.008,19,1223.9139969348907,7,5
pathmnist,5,6,0.008,20,1218.998162984848,0,2
pathmnist,5,6,0.008,21,1219.423518896103,6,0
pathmnist,5,6,0.008,22,1156.4364359378815,1,1
pathmnist,5,6,0.008,23,1146.0156452655792,6,8
pathmnist,5,6,0.008,24,1146.782832145691,6,8
pathmnist,5,6,0.008,25,1153.4644360542297,0,0
pathmnist,5,6,0.008,26,1150.182881116867,1,1
pathmnist,5,6,0.008,27,1079.4637939929962,6,6
pathmnist,5,6,0.008,28,1144.5268568992615,6,6
pathmnist,5,6,0.008,29,1148.5254821777344,0,0
pathmnist,5,6,0.008,30,1152.2164709568024,6,0
pathmnist,5,6,0.008,31,1143.670342206955,6,8
pathmnist,5,6,0.008,32,1150.1453659534454,6,0
pathmnist,5,6,0.008,33,1146.0853612422943,0,0
pathmnist,5,6,0.008,34,1133.1341857910156,1,1
pathmnist,5,6,0.008,35,1008.4865429401398,5,7
pathmnist,5,6,0.008,36,801.9787430763245,7,5
pathmnist,5,6,0.008,37,763.2789571285248,6,3
pathmnist,5,6,0.008,38,712.466954946518,6,4
pathmnist,5,6,0.008,39,673.9037749767303,0,6
pathmnist,5,6,0.008,40,718.5865099430084,5,5
pathmnist,5,6,0.008,41,687.7059481143951,6,6
pathmnist,5,6,0.008,42,765.6821880340576,7,4
pathmnist,5,6,0.008,43,728.0742440223694,4,8
pathmnist,5,6,0.008,44,699.4059410095215,0,0
pathmnist,5,6,0.008,45,691.4152159690857,6,3
pathmnist,5,6,0.008,46,713.1853981018066,6,6
pathmnist,5,6,0.008,47,690.6930639743805,2,2
pathmnist,5,6,0.008,48,696.1651721000671,6,6
pathmnist,5,6,0.008,49,702.8084290027618,6,7
pathmnist,6,5,0.008,0,210.95566701889038,8,8
pathmnist,6,5,0.008,1,225.64284205436707,2,4
pathmnist,6,5,0.008,2,236.02923393249512,4,4
pathmnist,6,5,0.008,3,238.21741485595703,2,8
pathmnist,6,5,0.008,4,245.92415308952332,6,4
pathmnist,6,5,0.008,5,229.96033263206482,4,4
pathmnist,6,5,0.008,6,253.67176604270935,4,8
pathmnist,6,5,0.008,7,227.36460900306702,5,0
pathmnist,6,5,0.008,8,219.26919794082642,1,6
pathmnist,6,5,0.008,9,210.38234400749207,5,8
pathmnist,6,5,0.008,10,212.78861594200134,4,8
pathmnist,6,5,0.008,11,226.54829216003418,8,6
pathmnist,6,5,0.008,12,222.3657681941986,5,8
pathmnist,6,5,0.008,13,218.27663278579712,6,6
pathmnist,6,5,0.008,14,247.26241612434387,7,0
pathmnist,6,5,0.008,15,246.56367301940918,7,5
pathmnist,6,5,0.008,16,236.96436500549316,0,0
pathmnist,6,5,0.008,17,218.1131432056427,8,2
pathmnist,6,5,0.008,18,222.95500588417053,5,0
pathmnist,6,5,0.008,19,216.4873857498169,5,5
pathmnist,6,5,0.008,20,228.5916690826416,8,2
pathmnist,6,5,0.008,21,229.28859901428223,6,0
pathmnist,6,5,0.008,22,219.11527395248413,1,1
pathmnist,6,5,0.008,23,230.5402476787567,6,8
pathmnist,6,5,0.008,24,217.86031794548035,4,8
pathmnist,6,5,0.008,25,212.67051577568054,6,0
pathmnist,6,5,0.008,26,258.24724292755127,1,1
pathmnist,6,5,0.008,27,238.99991297721863,8,6
pathmnist,6,5,0.008,28,235.98230290412903,6,6
pathmnist,6,5,0.008,29,208.62938284873962,5,0
pathmnist,6,5,0.008,30,221.5848891735077,7,0
pathmnist,6,5,0.008,31,202.71428203582764,8,8
pathmnist,6,5,0.008,32,226.34473991394043,2,0
pathmnist,6,5,0.008,33,245.92753195762634,5,0
pathmnist,6,5,0.008,34,234.5798032283783,1,1
pathmnist,6,5,0.008,35,249.26890206336975,7,7
pathmnist,6,5,0.008,36,194.94677209854126,5,5
pathmnist,6,5,0.008,37,229.43840169906616,3,3
pathmnist,6,5,0.008,38,191.94012808799744,6,4
pathmnist,6,5,0.008,39,206.07961225509644,2,6
pathmnist,6,5,0.008,40,219.93703699111938,5,5
