dataset,n_bits,rounding_threshold,p_error,image_idx,inference_time,prediction,real_tag
retinamnist,5,5,0.008,0,208.78967785835266,0,2
retinamnist,5,5,0.008,1,202.59719014167786,3,1
retinamnist,5,5,0.008,2,207.5632951259613,0,0
retinamnist,5,5,0.008,3,200.62578582763672,3,0
retinamnist,5,5,0.008,4,205.2001359462738,0,0
retinamnist,5,5,0.008,5,200.6957597732544,0,0
retinamnist,5,5,0.008,6,203.28671002388,0,2
retinamnist,5,5,0.008,7,202.4383659362793,3,2
retinamnist,5,5,0.008,8,193.07914304733276,0,0
retinamnist,5,5,0.008,9,204.62644910812378,3,3
retinamnist,5,5,0.008,10,201.15856313705444,0,2
retinamnist,5,5,0.008,11,202.6914029121399,2,2
retinamnist,5,5,0.008,12,215.35693192481995,3,0
retinamnist,5,5,0.008,13,200.6954619884491,3,3
retinamnist,5,5,0.008,14,205.44013214111328,0,0
retinamnist,5,5,0.008,15,201.76434087753296,0,0
retinamnist,5,5,0.008,16,201.13038992881775,0,0
retinamnist,5,5,0.008,17,205.36369514465332,2,2
retinamnist,5,5,0.008,18,208.7466459274292,3,4
retinamnist,5,5,0.008,19,206.98557901382446,3,0
retinamnist,5,5,0.008,20,206.9516499042511,0,0
retinamnist,5,5,0.008,21,204.01987099647522,0,0
retinamnist,5,5,0.008,22,216.6196689605713,0,0
retinamnist,5,5,0.008,23,217.80652523040771,0,0
retinamnist,5,5,0.008,24,232.3967888355255,0,2
retinamnist,5,5,0.008,25,222.45992493629456,0,0
retinamnist,5,5,0.008,26,228.6545479297638,0,0
retinamnist,5,5,0.008,27,222.34724402427673,3,3
retinamnist,5,5,0.008,28,216.0598316192627,0,0
retinamnist,5,5,0.008,29,228.67351603507996,3,3
retinamnist,5,5,0.008,30,219.11808609962463,0,0
retinamnist,5,5,0.008,31,216.9974389076233,2,0
retinamnist,5,5,0.008,32,213.51191401481628,3,3
retinamnist,5,5,0.008,33,216.27613520622253,0,1
retinamnist,5,5,0.008,34,221.66145300865173,0,0
retinamnist,5,5,0.008,35,203.1333520412445,0,0
retinamnist,5,5,0.008,36,213.1130359172821,0,0
retinamnist,5,5,0.008,37,221.15831780433655,2,3
retinamnist,5,5,0.008,38,221.57099533081055,0,1
retinamnist,5,5,0.008,39,204.1878638267517,0,0
retinamnist,5,5,0.008,40,196.4913718700409,0,1
retinamnist,5,5,0.008,41,203.48801493644714,0,0
retinamnist,5,5,0.008,42,195.75300979614258,0,0
retinamnist,5,5,0.008,43,209.13394904136658,3,0
retinamnist,5,5,0.008,44,194.2802369594574,3,3
retinamnist,5,5,0.008,45,219.2357518672943,3,3
retinamnist,5,5,0.008,46,205.44316911697388,3,1
retinamnist,5,5,0.008,47,201.44542407989502,3,1
retinamnist,5,5,0.008,48,203.69497179985046,2,1
retinamnist,5,5,0.008,49,213.94092178344727,0,0
retinamnist,6,6,0.008,0,372.6876599788666,0,2
retinamnist,6,6,0.008,1,363.0413019657135,3,1
retinamnist,6,6,0.008,2,372.7134611606598,0,0
retinamnist,6,6,0.008,3,367.7631959915161,3,0
retinamnist,6,6,0.008,4,409.6928598880768,0,0
retinamnist,6,6,0.008,5,389.7511110305786,0,0
retinamnist,6,6,0.008,6,373.0937430858612,2,2
retinamnist,6,6,0.008,7,382.4835669994354,2,2
retinamnist,6,6,0.008,8,368.7471549510956,0,0
retinamnist,6,6,0.008,9,372.411199092865,2,3
retinamnist,6,6,0.008,10,368.9928102493286,0,2
retinamnist,6,6,0.008,11,379.0196690559387,2,2
retinamnist,6,6,0.008,12,379.3879928588867,2,0
retinamnist,6,6,0.008,13,376.9956388473511,3,3
retinamnist,6,6,0.008,14,375.9165596961975,0,0
retinamnist,6,6,0.008,15,389.51065397262573,0,0
retinamnist,6,6,0.008,16,374.8329029083252,0,0
retinamnist,6,6,0.008,17,382.4153459072113,2,2
retinamnist,6,6,0.008,18,389.11139583587646,3,4
retinamnist,6,6,0.008,19,399.831422328949,2,0
retinamnist,6,6,0.008,20,376.1053431034088,0,0
retinamnist,6,6,0.008,21,346.78957509994507,0,0
retinamnist,6,6,0.008,22,348.66803002357483,0,0
retinamnist,6,6,0.008,23,353.4511671066284,0,0
retinamnist,6,6,0.008,24,347.91310572624207,0,2
retinamnist,6,6,0.008,25,349.80502796173096,0,0
retinamnist,6,6,0.008,26,343.64693689346313,0,0
retinamnist,6,6,0.008,27,362.28186297416687,2,3
retinamnist,6,6,0.008,28,351.02920508384705,0,0
retinamnist,6,6,0.008,29,351.77999997138977,3,3
retinamnist,6,6,0.008,30,351.53618812561035,0,0
retinamnist,6,6,0.008,31,344.15682196617126,2,0
retinamnist,6,6,0.008,32,371.7732629776001,2,3
retinamnist,6,6,0.008,33,345.9694230556488,0,1
retinamnist,6,6,0.008,34,349.7142930030823,0,0
retinamnist,6,6,0.008,35,365.64393615722656,0,0
retinamnist,6,6,0.008,36,346.53382992744446,0,0
retinamnist,6,6,0.008,37,351.2157690525055,2,3
retinamnist,6,6,0.008,38,377.77079033851624,2,1
retinamnist,6,6,0.008,39,357.91221284866333,0,0
retinamnist,6,6,0.008,40,373.4111981391907,0,1
retinamnist,6,6,0.008,41,351.8369526863098,0,0
retinamnist,6,6,0.008,42,377.81615805625916,0,0
retinamnist,6,6,0.008,43,351.5249478816986,2,0
retinamnist,6,6,0.008,44,352.9146161079407,2,3
retinamnist,6,6,0.008,45,351.40128779411316,3,3
retinamnist,6,6,0.008,46,351.599436044693,3,1
retinamnist,6,6,0.008,47,366.80153703689575,3,1
retinamnist,6,6,0.008,48,360.47340536117554,2,1
retinamnist,6,6,0.008,49,351.11000776290894,0,0
retinamnist,7,6,0.008,0,427.85037183761597,0,2
retinamnist,7,6,0.008,1,437.5406198501587,3,1
retinamnist,7,6,0.008,2,462.1402518749237,0,0
retinamnist,7,6,0.008,3,443.6079559326172,2,0
retinamnist,7,6,0.008,4,425.09432792663574,0,0
retinamnist,7,6,0.008,5,432.089293718338,0,0
retinamnist,7,6,0.008,6,443.33898305892944,2,2
retinamnist,7,6,0.008,7,449.2337601184845,2,2
retinamnist,7,6,0.008,8,447.8856360912323,0,0
retinamnist,7,6,0.008,9,442.17930603027344,2,3
retinamnist,7,6,0.008,10,448.2589786052704,0,2
retinamnist,7,6,0.008,11,446.0430610179901,3,2
retinamnist,7,6,0.008,12,465.4457070827484,3,0
retinamnist,7,6,0.008,13,449.04051303863525,3,3
retinamnist,7,6,0.008,14,470.1768717765808,0,0
retinamnist,7,6,0.008,15,441.1537148952484,0,0
retinamnist,7,6,0.008,16,451.66276812553406,0,0
retinamnist,7,6,0.008,17,483.58110785484314,2,2
retinamnist,7,6,0.008,18,442.51758790016174,3,4
retinamnist,7,6,0.008,19,442.0864632129669,2,0
retinamnist,7,6,0.008,20,462.08958101272583,0,0
retinamnist,7,6,0.008,21,461.3953959941864,0,0
retinamnist,7,6,0.008,22,458.19704127311707,0,0
retinamnist,7,6,0.008,23,454.156044960022,0,0
retinamnist,7,6,0.008,24,452.9275908470154,0,2
retinamnist,7,6,0.008,25,449.1624319553375,0,0
retinamnist,7,6,0.008,26,477.1265242099762,0,0
retinamnist,7,6,0.008,27,471.8257200717926,3,3
retinamnist,7,6,0.008,28,482.6876392364502,0,0
retinamnist,7,6,0.008,29,460.7275879383087,3,3
retinamnist,7,6,0.008,30,452.79039907455444,0,0
retinamnist,7,6,0.008,31,471.44007205963135,2,0
retinamnist,7,6,0.008,32,457.50789308547974,2,3
retinamnist,7,6,0.008,33,451.7281630039215,0,1
retinamnist,7,6,0.008,34,456.02974677085876,0,0
retinamnist,7,6,0.008,35,495.97265791893005,0,0
retinamnist,7,6,0.008,36,484.31485295295715,0,0
