dataset,n_bits,rounding_threshold,p_error,imagen_idx,tiempo_segundos,prediccion,etiqueta_real
organamnist,5,5,0.008,0,105.62065601348877,9,4
organamnist,5,5,0.008,1,103.37821578979492,0,0
organamnist,5,5,0.008,2,103.23474502563477,8,8
organamnist,5,5,0.008,3,103.15148448944092,6,6
organamnist,5,5,0.008,4,103.4870240688324,5,5
organamnist,5,5,0.008,5,102.90467977523804,0,0
organamnist,5,5,0.008,6,103.54756474494934,8,8
organamnist,5,5,0.008,7,104.06312966346741,7,7
organamnist,5,5,0.008,8,103.10243511199951,0,0
organamnist,5,5,0.008,9,103.33218097686768,6,6
organamnist,5,5,0.008,10,103.02554106712341,4,4
organamnist,5,5,0.008,11,103.2079210281372,7,7
organamnist,5,5,0.008,12,103.37279462814331,4,4
organamnist,5,5,0.008,13,103.27617025375366,4,4
organamnist,5,5,0.008,14,104.06577396392822,7,7
organamnist,5,5,0.008,15,103.55659937858582,8,8
organamnist,5,5,0.008,16,102.82486629486084,9,0
organamnist,5,5,0.008,17,103.14167642593384,8,8
organamnist,5,5,0.008,18,103.23863172531128,5,5
organamnist,5,5,0.008,19,103.31319499015808,10,10
organamnist,5,5,0.008,20,103.26750373840332,6,6
organamnist,5,5,0.008,21,103.67277240753174,10,10
organamnist,5,5,0.008,22,103.39005851745605,5,5
organamnist,5,5,0.008,23,103.54190421104431,5,4
organamnist,5,5,0.008,24,103.24593997001648,6,5
organamnist,5,5,0.008,25,103.32876682281494,6,0
organamnist,5,5,0.008,26,103.29305720329285,2,2
organamnist,5,5,0.008,27,103.21857833862305,5,5
organamnist,5,5,0.008,28,103.09050583839417,4,4
organamnist,5,5,0.008,29,103.64483428001404,5,5
organamnist,5,5,0.008,30,102.93066048622131,7,7
organamnist,5,5,0.008,31,103.09740281105042,4,4
organamnist,5,5,0.008,32,103.59989428520203,6,10
organamnist,5,5,0.008,33,103.83906173706055,7,7
organamnist,5,5,0.008,34,103.63895201683044,9,9
organamnist,5,5,0.008,35,103.00464105606079,5,5
organamnist,5,5,0.008,36,102.83722639083862,6,6
organamnist,5,5,0.008,37,103.45397329330444,6,10
organamnist,5,5,0.008,38,103.18696093559265,6,6
organamnist,5,5,0.008,39,103.85567164421082,7,7
organamnist,5,5,0.008,40,104.75920176506042,4,4
organamnist,5,5,0.008,41,103.13748216629028,3,10
organamnist,5,5,0.008,42,103.2191367149353,6,6
organamnist,5,5,0.008,43,103.89482927322388,6,6
organamnist,5,5,0.008,44,103.07251358032227,10,4
organamnist,5,5,0.008,45,103.43058252334595,2,2
organamnist,5,5,0.008,46,103.79482078552246,7,7
organamnist,5,5,0.008,47,103.98333954811096,5,1
organamnist,5,5,0.008,48,103.7601420879364,5,5
organamnist,5,5,0.008,49,103.41636276245117,6,6
organamnist,5,5,0.008,50,102.93875288963318,10,4
organamnist,5,5,0.008,51,103.15187406539917,8,8
organamnist,5,5,0.008,52,103.44453644752502,5,5
organamnist,5,5,0.008,53,103.68566274642944,9,5
organamnist,5,5,0.008,54,103.21574783325195,9,10
organamnist,5,5,0.008,55,102.98530578613281,9,9
organamnist,5,5,0.008,56,103.15160417556763,8,8
organamnist,5,5,0.008,57,103.97332763671875,10,10
organamnist,5,5,0.008,58,103.93897223472595,6,6
organamnist,5,5,0.008,59,102.91680431365967,10,10
organamnist,5,5,0.008,60,103.07124376296997,4,4
organamnist,5,5,0.008,61,103.16653823852539,7,7
organamnist,5,5,0.008,62,103.0665831565857,9,9
organamnist,5,5,0.008,63,103.65443181991577,10,10
organamnist,5,5,0.008,64,103.8525903224945,10,5
organamnist,5,5,0.008,65,102.96568131446838,8,6
organamnist,5,5,0.008,66,102.99587416648865,6,6
organamnist,5,5,0.008,67,103.0896909236908,7,7
organamnist,5,5,0.008,68,103.04355502128601,5,5
organamnist,5,5,0.008,69,103.47862434387207,5,1
organamnist,5,5,0.008,70,103.09988164901733,6,6
organamnist,5,5,0.008,71,103.08262252807617,9,9
organamnist,5,5,0.008,72,103.57300996780396,10,10
organamnist,5,5,0.008,73,102.79124140739441,5,5
organamnist,5,5,0.008,74,102.6705551147461,6,6
organamnist,5,5,0.008,75,103.01762890815735,5,5
organamnist,5,5,0.008,76,103.15522980690002,5,4
organamnist,5,5,0.008,77,103.08663010597229,4,4
organamnist,5,5,0.008,78,103.07277297973633,4,4
organamnist,5,5,0.008,79,103.7239773273468,5,5
organamnist,5,5,0.008,80,102.9976737499237,6,6
organamnist,5,5,0.008,81,103.80424976348877,3,3
organamnist,5,5,0.008,82,103.40441298484802,6,6
