dataset,n_bits,accuracy,f1_macro
dermamnist,4,0.7187032418952618,0.4515111407288794
dermamnist,5,0.7451371571072319,0.4921270294836182
dermamnist,6,0.7331670822942643,0.4779826495840003
dermamnist,7,0.7321695760598503,0.44871041976701287
dermamnist,8,0.7396508728179552,0.45015760157613866
pathmnist,4,0.802924791086351,0.7263978973861543
pathmnist,5,0.7704735376044568,0.7029851761680487
pathmnist,6,0.7520891364902507,0.6842028424673647
pathmnist,7,0.7637883008356546,0.7003674931629871
pathmnist,8,0.7889972144846796,0.7201923655824406
retinamnist,4,0.52,0.33393417979139206
retinamnist,5,0.545,0.3772943206703056
retinamnist,6,0.5325,0.31984241868987634
retinamnist,7,0.5275,0.34478555040146214
retinamnist,8,0.505,0.31367937034136195
bloodmnist,4,0.9280912014030985,0.9213145410984882
bloodmnist,5,0.9257527038877521,0.9238581948685294
bloodmnist,6,0.9403683133586671,0.9370735229967238
bloodmnist,7,0.9225372698041509,0.9182969179128471
bloodmnist,8,0.9368605670856475,0.9338747211535752
