,model,max_depth,n_bits,n_features,training_time,compilation_time,prediction_time,accuracy,f1
0,DecisionTreeClassifier,3,2,5,0.001493041999999889,0,0.00012737499999992963,0.904,0.9083969465648855
1,DecisionTreeClassifier,3,2,6,0.0014766250000004533,0,0.00013645899999925604,0.892,0.891566265060241
2,DecisionTreeClassifier,3,2,7,0.0032032499999994357,0,0.000281957999999527,0.868,0.8745247148288974
3,DecisionTreeClassifier,3,2,8,0.0018428330000004323,0,0.00014541700000059166,0.888,0.8870967741935484
4,DecisionTreeClassifier,3,2,9,0.0019394579999998385,0,8.524999999970362e-05,0.9,0.8898678414096917
5,DecisionTreeClassifier,3,2,10,0.006827375000000302,0,0.00018600000000024153,0.868,0.88
6,DecisionTreeClassifier,3,2,11,0.00240716599999935,0,0.00015183400000040592,0.864,0.8521739130434782
7,DecisionTreeClassifier,3,2,12,0.002555082999999847,0,0.00010020800000010155,0.884,0.8853754940711462
8,DecisionTreeClassifier,3,2,13,0.0027345409999997017,0,0.000172000000000061,0.908,0.9090909090909091
9,DecisionTreeClassifier,3,2,14,0.0029410829999996224,0,0.00017204099999990063,0.88,0.8636363636363636
10,DecisionTreeClassifier,3,2,15,0.004970415999999922,0,0.0002767090000004302,0.9,0.8987854251012146
11,DecisionTreeClassifier,3,2,16,0.0032580419999996835,0,0.00012441700000032085,0.868,0.8745247148288974
12,DecisionTreeClassifier,3,2,17,0.003469833999999672,0,0.00015991599999942707,0.888,0.8931297709923665
13,DecisionTreeClassifier,3,2,18,0.003762082999999805,0,0.00018291599999997743,0.88,0.8770491803278688
14,DecisionTreeClassifier,3,2,19,0.003863332999999969,0,0.0001915420000004886,0.884,0.8905660377358491
15,DecisionTreeClassifier,3,3,5,0.001285457999999906,0,0.00015608399999944567,0.904,0.9083969465648855
16,DecisionTreeClassifier,3,3,6,0.0014355840000002118,0,0.0001631660000001034,0.892,0.891566265060241
17,DecisionTreeClassifier,3,3,7,0.0016078749999994812,0,0.00017099999999992122,0.868,0.8745247148288974
18,DecisionTreeClassifier,3,3,8,0.001808083000000238,0,0.0001765420000001683,0.888,0.8870967741935484
19,DecisionTreeClassifier,3,3,9,0.0019912919999995893,0,0.0001650419999998931,0.9,0.8898678414096917
20,DecisionTreeClassifier,3,3,10,0.002168082999999932,0,0.00017516700000008711,0.868,0.88
21,DecisionTreeClassifier,3,3,11,0.002461291000000365,0,0.00033499999999975216,0.864,0.8521739130434782
22,DecisionTreeClassifier,3,3,12,0.002630334000000012,0,0.00017499999999959215,0.884,0.8853754940711462
23,DecisionTreeClassifier,3,3,13,0.0039852089999996565,0,0.0002570420000003182,0.908,0.9090909090909091
24,DecisionTreeClassifier,3,3,14,0.005370957999999426,0,0.00026687499999944464,0.88,0.8636363636363636
25,DecisionTreeClassifier,3,3,15,0.0032261660000001413,0,0.00017083300000031443,0.9,0.8987854251012146
26,DecisionTreeClassifier,3,3,16,0.0032769159999999076,0,0.0001242499999998259,0.868,0.8745247148288974
27,DecisionTreeClassifier,3,3,17,0.003440458000000035,0,0.0001446669999998207,0.888,0.8931297709923665
28,DecisionTreeClassifier,3,3,18,0.003656958000000543,0,0.00017945799999985468,0.88,0.8770491803278688
29,DecisionTreeClassifier,3,3,19,0.0038352499999998457,0,0.00013183300000019216,0.884,0.8905660377358491
30,DecisionTreeClassifier,3,4,5,0.0013539589999993495,0,0.00017566599999963017,0.904,0.9083969465648855
31,DecisionTreeClassifier,3,4,6,0.0014416669999999243,0,0.00014858300000053504,0.892,0.891566265060241
32,DecisionTreeClassifier,3,4,7,0.0016917919999999143,0,8.083400000025165e-05,0.868,0.8745247148288974
33,DecisionTreeClassifier,3,4,8,0.0017486670000002036,0,7.512500000039779e-05,0.888,0.8870967741935484
34,DecisionTreeClassifier,3,4,9,0.0018982080000000678,0,6.954200000031108e-05,0.9,0.8898678414096917
35,DecisionTreeClassifier,3,4,10,0.002124124999999921,0,0.0001360410000001977,0.868,0.88
36,DecisionTreeClassifier,3,4,11,0.0024942919999997315,0,0.00018054199999983922,0.864,0.8521739130434782
37,DecisionTreeClassifier,3,4,12,0.0026372500000002574,0,0.00010187499999947391,0.884,0.8853754940711462
38,DecisionTreeClassifier,3,4,13,0.002575708999999371,0,6.270799999974486e-05,0.908,0.9090909090909091
39,DecisionTreeClassifier,3,4,14,0.0030435420000003433,0,0.00011337499999974909,0.88,0.8636363636363636
40,DecisionTreeClassifier,3,4,15,0.0030207500000001275,0,9.279200000023025e-05,0.9,0.8987854251012146
41,DecisionTreeClassifier,3,4,16,0.003137917000000101,0,8.666699999970717e-05,0.868,0.8745247148288974
42,DecisionTreeClassifier,3,4,17,0.0033321669999999415,0,9.204099999937654e-05,0.888,0.8931297709923665
43,DecisionTreeClassifier,3,4,18,0.0036188749999999104,0,0.00011675000000010982,0.88,0.8770491803278688
44,DecisionTreeClassifier,3,4,19,0.0037079170000007267,0,6.600000000034356e-05,0.884,0.8905660377358491
45,DecisionTreeClassifier,3,5,5,0.0011431249999995785,0,5.916700000074826e-05,0.904,0.9083969465648855
46,DecisionTreeClassifier,3,5,6,0.0013233750000001265,0,5.7667000000094504e-05,0.892,0.891566265060241
47,DecisionTreeClassifier,3,5,7,0.0015786249999996116,0,0.00014291599999971538,0.868,0.8745247148288974
48,DecisionTreeClassifier,3,5,8,0.001746999999999943,0,9.125000000054229e-05,0.888,0.8870967741935484
49,DecisionTreeClassifier,3,5,9,0.0019249999999999545,0,9.90409999994668e-05,0.9,0.8898678414096917
