,model,max_depth,n_bits,n_features,training_time,compilation_time,prediction_time,accuracy,f1
0,RandomForestClassifier,3,2,5,0.00852591700000005,0,0.00042883299999996183,0.904,0.9076923076923077
1,RandomForestClassifier,3,2,6,0.0148792499999999,0,0.0011855829999998235,0.904,0.8991596638655462
2,RandomForestClassifier,3,2,7,0.008778707999999469,0,0.00040820899999971516,0.856,0.8512396694214877
3,RandomForestClassifier,3,2,8,0.007882916999999878,0,0.0004009590000002561,0.884,0.8755364806866953
4,RandomForestClassifier,3,2,9,0.009120124999999923,0,0.0004115840000000759,0.888,0.8793103448275862
5,RandomForestClassifier,3,2,10,0.008889041999999847,0,0.00039704200000034717,0.876,0.8830188679245283
6,RandomForestClassifier,3,2,11,0.00913162499999931,0,0.0003933749999998071,0.872,0.864406779661017
7,RandomForestClassifier,3,2,12,0.010381875000000207,0,0.0004632909999999768,0.884,0.8844621513944223
8,RandomForestClassifier,3,2,13,0.010262167000000488,0,0.0007118750000003615,0.916,0.9163346613545816
9,RandomForestClassifier,3,2,14,0.013626083000000122,0,0.0004209159999994938,0.864,0.8521739130434782
10,RandomForestClassifier,3,2,15,0.01308316700000045,0,0.0005982920000002778,0.88,0.8717948717948718
11,RandomForestClassifier,3,2,16,0.012597999999999665,0,0.0005579589999999968,0.9,0.8962655601659751
12,RandomForestClassifier,3,2,17,0.012050125000000023,0,0.0004495000000002136,0.88,0.8760330578512396
13,RandomForestClassifier,3,2,18,0.00965816700000044,0,0.00037079099999992593,0.88,0.8695652173913043
14,RandomForestClassifier,3,2,19,0.0102994169999997,0,0.00036341599999989427,0.884,0.8888888888888888
15,RandomForestClassifier,3,3,5,0.007171209000000012,0,0.0003333330000003798,0.92,0.921875
16,RandomForestClassifier,3,3,6,0.007424375000000261,0,0.000353792000000297,0.884,0.8744588744588745
17,RandomForestClassifier,3,3,7,0.0072015839999997056,0,0.0003228750000001668,0.864,0.859504132231405
18,RandomForestClassifier,3,3,8,0.007546207999999943,0,0.000351084000000057,0.888,0.8793103448275862
19,RandomForestClassifier,3,3,9,0.008393625000000071,0,0.0003235830000001272,0.9,0.8962655601659751
20,RandomForestClassifier,3,3,10,0.008289207999999881,0,0.00034583300000079475,0.884,0.8897338403041825
21,RandomForestClassifier,3,3,11,0.008803583000000614,0,0.0003751250000005868,0.88,0.8739495798319328
