Model,Type,Bits,Max Depth,Accuracy,F1 Score,Precision,Recall,Inference Time (s)
Random Forest (Clear),Clear,,4,0.8718,0.8513,0.8736,0.8301,0.0
Random Forest (Clear),Clear,,5,0.9105,0.8974,0.9096,0.8855,0.0
Random Forest (Clear),Clear,,6,0.9266,0.9161,0.9268,0.9056,0.0
Random Forest (Clear),Clear,,7,0.9384,0.9299,0.935,0.9249,0.0
Random Forest (Clear),Clear,,8,0.9538,0.9472,0.9573,0.9373,0.0
Random Forest (Clear),Clear,,9,0.9671,0.9628,0.9645,0.961,0.0
Random Forest (Clear),Clear,,10,0.9746,0.9712,0.9745,0.9679,0.0
Random Forest FHE,FHE,2.0,4,0.87,0.0,0.0,0.0,458.49874
Random Forest FHE,FHE,2.0,5,0.78,0.2667,0.1739,0.5714,711.84526
Random Forest FHE,FHE,2.0,6,0.82,0.1,0.0769,0.1429,1117.53705
Random Forest FHE,FHE,2.0,7,0.78,0.3529,0.2222,0.8571,1650.94425
Random Forest FHE,FHE,2.0,8,0.78,0.3529,0.2222,0.8571,5909.24352
Random Forest FHE,FHE,2.0,9,0.78,0.3529,0.2222,0.8571,9002.8186
Random Forest FHE,FHE,2.0,10,0.78,0.3529,0.2222,0.8571,11019.99083
Random Forest FHE,FHE,3.0,4,0.88,0.0,0.0,0.0,639.10479
Random Forest FHE,FHE,3.0,5,0.89,0.5217,0.375,0.8571,1068.7312
Random Forest FHE,FHE,3.0,6,0.9,0.5455,0.4,0.8571,1718.91295
Random Forest FHE,FHE,3.0,7,0.89,0.5217,0.375,0.8571,2606.25389
Random Forest FHE,FHE,3.0,8,0.89,0.5217,0.375,0.8571,8675.76542
Random Forest FHE,FHE,3.0,9,0.89,0.5217,0.375,0.8571,11763.93938
Random Forest FHE,FHE,3.0,10,0.9,0.5455,0.4,0.8571,14267.47679
Random Forest FHE,FHE,4.0,4,0.87,0.48,0.3333,0.8571,1084.25705
Random Forest FHE,FHE,4.0,5,0.87,0.48,0.3333,0.8571,2251.71187
Random Forest FHE,FHE,4.0,6,0.87,0.48,0.3333,0.8571,2969.02274
Random Forest FHE,FHE,4.0,7,0.89,0.5217,0.375,0.8571,5532.55765
Random Forest FHE,FHE,4.0,8,0.91,0.5714,0.4286,0.8571,12852.80373
Random Forest FHE,FHE,4.0,9,0.92,0.6,0.4615,0.8571,17062.78308
Random Forest FHE,FHE,4.0,10,0.89,0.5217,0.375,0.8571,23457.11175
Random Forest FHE,FHE,5.0,4,0.92,0.6,0.4615,0.8571,1626.08442
Random Forest FHE,FHE,5.0,5,0.92,0.6,0.4615,0.8571,2742.29244
Random Forest FHE,FHE,5.0,6,0.9,0.4444,0.3636,0.5714,3195.21097
Random Forest FHE,FHE,5.0,7,0.92,0.6,0.4615,0.8571,6305.3232
Random Forest FHE,FHE,5.0,8,0.95,0.7059,0.6,0.8571,17687.93044
Random Forest FHE,FHE,5.0,9,0.95,0.7059,0.6,0.8571,24079.35399
Random Forest FHE,FHE,5.0,10,0.94,0.625,0.5556,0.7143,38848.44022
Random Forest FHE,FHE,6.0,4,0.93,0.6316,0.5,0.8571,1546.6969
Random Forest FHE,FHE,6.0,5,0.92,0.5556,0.4545,0.7143,2933.21971
Random Forest FHE,FHE,6.0,6,0.91,0.5263,0.4167,0.7143,4811.30479
Random Forest FHE,FHE,6.0,7,0.92,0.5556,0.4545,0.7143,12243.06321
Random Forest FHE,FHE,6.0,8,0.94,0.625,0.5556,0.7143,20426.48762
Random Forest FHE,FHE,6.0,9,0.96,0.7143,0.7143,0.7143,27372.08801
Random Forest FHE,FHE,6.0,10,0.94,0.625,0.5556,0.7143,40056.43025
Random Forest FHE,FHE,7.0,4,0.93,0.6316,0.5,0.8571,1738.67127
Random Forest FHE,FHE,7.0,5,0.89,0.4762,0.3571,0.7143,3908.79291
Random Forest FHE,FHE,7.0,6,0.93,0.5882,0.5,0.7143,6740.71011
Random Forest FHE,FHE,7.0,7,0.93,0.5882,0.5,0.7143,8701.75204
Random Forest FHE,FHE,7.0,8,0.94,0.625,0.5556,0.7143,21049.87404
Random Forest FHE,FHE,7.0,9,0.96,0.7143,0.7143,0.7143,24900.31973
Random Forest FHE,FHE,7.0,10,0.96,0.7143,0.7143,0.7143,37351.13372
Random Forest FHE,FHE,8.0,4,0.92,0.5556,0.4545,0.7143,2806.84619
Random Forest FHE,FHE,8.0,5,0.93,0.6316,0.5,0.8571,5049.86608
Random Forest FHE,FHE,8.0,6,0.92,0.6,0.4615,0.8571,7145.98398
Random Forest FHE,FHE,8.0,7,0.94,0.625,0.5556,0.7143,9443.79573
Random Forest FHE,FHE,8.0,8,0.95,0.6667,0.625,0.7143,19810.77068
Random Forest FHE,FHE,8.0,9,0.97,0.7692,0.8333,0.7143,23398.0786
Random Forest FHE,FHE,8.0,10,0.98,0.8333,1.0,0.7143,37300.34759
Random Forest FHE,FHE,9.0,4,0.93,0.6316,0.5,0.8571,2056.99747
Random Forest FHE,FHE,9.0,5,0.93,0.6316,0.5,0.8571,4276.51392
Random Forest FHE,FHE,9.0,6,0.94,0.6667,0.5455,0.8571,7302.24905
Random Forest FHE,FHE,9.0,7,0.94,0.625,0.5556,0.7143,12858.14608
Random Forest FHE,FHE,9.0,8,0.94,0.625,0.5556,0.7143,26867.15248
Random Forest FHE,FHE,9.0,9,0.96,0.7143,0.7143,0.7143,34790.9345
Random Forest FHE,FHE,9.0,10,0.97,0.7692,0.8333,0.7143,52427.15854
Random Forest FHE,FHE,10.0,4,0.93,0.6316,0.5,0.8571,8676.13784
Random Forest FHE,FHE,10.0,5,0.93,0.6316,0.5,0.8571,12671.3333
Random Forest FHE,FHE,10.0,6,0.94,0.6667,0.5455,0.8571,29735.77536
Random Forest FHE,FHE,10.0,7,0.95,0.6667,0.625,0.7143,42972.47764
Random Forest FHE,FHE,10.0,8,0.95,0.6667,0.625,0.7143,76501.48684
Random Forest FHE,FHE,10.0,9,0.97,0.7692,0.8333,0.7143,79095.74031
Random Forest FHE,FHE,10.0,10,0.95,0.6667,0.625,0.7143,126876.80986
Random Forest FHE,FHE,11.0,4,0.93,0.6316,0.5,0.8571,8545.50269
Random Forest FHE,FHE,11.0,5,0.92,0.5556,0.4545,0.7143,10611.10277
Random Forest FHE,FHE,11.0,6,0.94,0.6667,0.5455,0.8571,19168.23197
Random Forest FHE,FHE,11.0,7,0.95,0.7059,0.6,0.8571,44906.6652
