Model,Type,Bits,Depth,Accuracy,F1_Score,Precision,Recall,Inference_Time_s,Compile_Time_s,FHE_Mode
Random Forest,FHE_Optimized,2,4,0.916083916083916,0.18181818181818182,0.17391304347826086,0.19047619047619047,2323.579722881317,2.924638032913208,execute
Random Forest,FHE_Optimized,2,5,0.9125874125874126,0.1935483870967742,0.17647058823529413,0.21428571428571427,3763.0625689029694,5.7867348194122314,execute
Random Forest,FHE_Optimized,2,4,0.916083916083916,0.2,0.1875,0.21428571428571427,2576.9052379131317,2.2201128005981445,execute
Random Forest,FHE_Optimized,2,5,0.8752913752913752,0.17054263565891473,0.12643678160919541,0.2619047619047619,5146.436558961868,6.1268322467803955,execute
Random Forest,FHE_Optimized,2,6,0.789044289044289,0.18099547511312217,0.11173184357541899,0.47619047619047616,7904.640594005585,12.956012964248657,execute
Random Forest,FHE_Optimized,2,7,0.7622377622377622,0.1968503937007874,0.1179245283018868,0.5952380952380952,12947.996096134186,18.785032033920288,execute
Random Forest,FHE_Optimized,2,8,0.7634032634032634,0.1976284584980237,0.11848341232227488,0.5952380952380952,43527.4927611351,40.03618931770325,execute
Random Forest,FHE_Optimized,2,9,0.7657342657342657,0.199203187250996,0.11961722488038277,0.5952380952380952,34444.8152050972,50.28607892990112,execute
Random Forest,FHE_Optimized,2,10,0.7599067599067599,0.20155038759689922,0.12037037037037036,0.6190476190476191,37887.16927790642,48.59726595878601,execute
Random Forest,FHE_Optimized,3,4,0.8951048951048951,0.27419354838709675,0.2073170731707317,0.40476190476190477,2336.9704921245575,4.0803141593933105,execute
Random Forest,FHE_Optimized,3,5,0.8904428904428905,0.32857142857142857,0.23469387755102042,0.5476190476190477,4136.19490480423,5.743175029754639,execute
Random Forest,FHE_Optimized,3,6,0.8962703962703963,0.34074074074074073,0.24731182795698925,0.5476190476190477,6704.947164058685,13.214493036270142,execute
Random Forest,FHE_Optimized,3,7,0.8927738927738927,0.34285714285714286,0.24489795918367346,0.5714285714285714,10274.463208913803,19.275354862213135,execute
Random Forest,FHE_Optimized,3,8,0.8939393939393939,0.34532374100719426,0.24742268041237114,0.5714285714285714,32281.07028722763,35.89249610900879,execute
Random Forest,FHE_Optimized,3,9,0.8904428904428905,0.32857142857142857,0.23469387755102042,0.5476190476190477,44467.88396501541,44.64953589439392,execute
Random Forest,FHE_Optimized,2,4,0.87,0.0,0.0,0.0,458.4987368583679,4.67750096321106,execute
Random Forest,FHE_Optimized,2,5,0.78,0.26666666666666666,0.17391304347826086,0.5714285714285714,711.8452572822571,8.227987289428711,execute
Random Forest,FHE_Optimized,2,6,0.82,0.1,0.07692307692307693,0.14285714285714285,1117.5370519161224,17.802265167236328,execute
Random Forest,FHE_Optimized,2,7,0.78,0.35294117647058826,0.2222222222222222,0.8571428571428571,1650.9442508220673,23.72211194038391,execute
Random Forest,FHE_Optimized,2,8,0.78,0.35294117647058826,0.2222222222222222,0.8571428571428571,5909.243515968323,45.687103033065796,execute
Random Forest,FHE_Optimized,2,9,0.78,0.35294117647058826,0.2222222222222222,0.8571428571428571,9002.818599939346,105.18371415138245,execute
Random Forest,FHE_Optimized,2,10,0.78,0.35294117647058826,0.2222222222222222,0.8571428571428571,11019.990827083588,152.97285389900208,execute
Random Forest,FHE_Optimized,3,4,0.88,0.0,0.0,0.0,639.1047937870026,11.713977098464966,execute
Random Forest,FHE_Optimized,3,5,0.89,0.5217391304347826,0.375,0.8571428571428571,1068.7311990261078,16.443161249160767,execute
Random Forest,FHE_Optimized,3,6,0.9,0.5454545454545454,0.4,0.8571428571428571,1718.9129507541656,37.056904792785645,execute
Random Forest,FHE_Optimized,3,7,0.89,0.5217391304347826,0.375,0.8571428571428571,2606.2538940906525,49.20379090309143,execute
Random Forest,FHE_Optimized,3,8,0.89,0.5217391304347826,0.375,0.8571428571428571,8675.765419960022,112.66424918174744,execute
Random Forest,FHE_Optimized,3,9,0.89,0.5217391304347826,0.375,0.8571428571428571,11763.939377069473,195.49648690223694,execute
Random Forest,FHE_Optimized,3,10,0.9,0.5454545454545454,0.4,0.8571428571428571,14267.476790904999,320.55217576026917,execute
Random Forest,FHE_Optimized,4,4,0.87,0.48,0.3333333333333333,0.8571428571428571,1084.2570509910583,5.663033962249756,execute
Random Forest,FHE_Optimized,4,5,0.87,0.48,0.3333333333333333,0.8571428571428571,2251.7118701934814,12.664906978607178,execute
Random Forest,FHE_Optimized,4,6,0.87,0.48,0.3333333333333333,0.8571428571428571,2969.0227398872375,23.207041025161743,execute
Random Forest,FHE_Optimized,4,7,0.89,0.5217391304347826,0.375,0.8571428571428571,5532.557653903961,27.78738284111023,execute
Random Forest,FHE_Optimized,4,8,0.91,0.5714285714285714,0.42857142857142855,0.8571428571428571,12852.803732156754,100.7685489654541,execute
Random Forest,FHE_Optimized,4,9,0.92,0.6,0.46153846153846156,0.8571428571428571,17062.78307890892,92.19558715820312,execute
Random Forest,FHE_Optimized,4,10,0.89,0.5217391304347826,0.375,0.8571428571428571,23457.111753940582,299.02849197387695,execute
Random Forest,FHE_Optimized,5,4,0.92,0.6,0.46153846153846156,0.8571428571428571,1626.084417104721,7.987622022628784,execute
Random Forest,FHE_Optimized,5,5,0.92,0.6,0.46153846153846156,0.8571428571428571,2742.2924439907074,14.126102924346924,execute
Random Forest,FHE_Optimized,5,6,0.9,0.4444444444444444,0.36363636363636365,0.5714285714285714,3195.210968017578,14.830867052078247,execute
Random Forest,FHE_Optimized,5,7,0.92,0.6,0.46153846153846156,0.8571428571428571,6305.323197841644,32.05210494995117,execute
Random Forest,FHE_Optimized,5,8,0.95,0.7058823529411765,0.6,0.8571428571428571,17687.93044400215,104.52384305000305,execute
Random Forest,FHE_Optimized,5,9,0.95,0.7058823529411765,0.6,0.8571428571428571,24079.353994846344,101.6016800403595,execute
Random Forest,FHE_Optimized,5,10,0.94,0.625,0.5555555555555556,0.7142857142857143,38848.44022202492,367.76166915893555,execute
Random Forest,FHE_Optimized,6,4,0.93,0.631578947368421,0.5,0.8571428571428571,1546.696895122528,11.460278034210205,execute
Random Forest,FHE_Optimized,6,5,0.92,0.5555555555555556,0.45454545454545453,0.7142857142857143,2933.2197120189667,16.366407871246338,execute
Random Forest,FHE_Optimized,6,6,0.91,0.5263157894736842,0.4166666666666667,0.7142857142857143,4811.304785966873,30.469810247421265,execute
Random Forest,FHE_Optimized,6,7,0.92,0.5555555555555556,0.45454545454545453,0.7142857142857143,12243.063212156296,78.03176403045654,execute
Random Forest,FHE_Optimized,6,8,0.94,0.625,0.5555555555555556,0.7142857142857143,20426.487621068954,129.21978116035461,execute
Random Forest,FHE_Optimized,6,9,0.96,0.7142857142857143,0.7142857142857143,0.7142857142857143,27372.08800792694,833.9444291591644,execute
Random Forest,FHE_Optimized,6,10,0.94,0.625,0.5555555555555556,0.7142857142857143,40056.43024992943,1238.0609719753265,execute
Random Forest,FHE_Optimized,7,4,0.93,0.631578947368421,0.5,0.8571428571428571,1738.6712749004364,10.985213994979858,execute
Random Forest,FHE_Optimized,7,5,0.89,0.47619047619047616,0.35714285714285715,0.7142857142857143,3908.7929050922394,17.941987991333008,execute
Random Forest,FHE_Optimized,7,6,0.93,0.5882352941176471,0.5,0.7142857142857143,6740.710107088089,39.60048985481262,execute
Random Forest,FHE_Optimized,7,7,0.93,0.5882352941176471,0.5,0.7142857142857143,8701.752043962479,67.52826118469238,execute
Random Forest,FHE_Optimized,7,8,0.94,0.625,0.5555555555555556,0.7142857142857143,21049.874039173126,171.04296231269836,execute
Random Forest,FHE_Optimized,7,9,0.96,0.7142857142857143,0.7142857142857143,0.7142857142857143,24900.31972694397,232.95303916931152,execute
Random Forest,FHE_Optimized,7,10,0.96,0.7142857142857143,0.7142857142857143,0.7142857142857143,37351.1337249279,426.76943802833557,execute
Random Forest,FHE_Optimized,8,4,0.92,0.5555555555555556,0.45454545454545453,0.7142857142857143,2806.846191883087,16.788415908813477,execute
Random Forest,FHE_Optimized,8,5,0.93,0.631578947368421,0.5,0.8571428571428571,5049.866083145142,25.070719003677368,execute
Random Forest,FHE_Optimized,8,6,0.92,0.6,0.46153846153846156,0.8571428571428571,7145.9839770793915,46.340699911117554,execute
Random Forest,FHE_Optimized,8,7,0.94,0.625,0.5555555555555556,0.7142857142857143,9443.79573392868,110.77466416358948,execute
