Model,Type,Bits,Depth,MAE,RMSE
LinearRegression,Clear,,,0.0869,0.2683
LinearRegression,FHE,2.0,,11.384,13.228
LinearRegression,FHE,3.0,,11.686,13.397
LinearRegression,FHE,4.0,,2.731,3.253
LinearRegression,FHE,5.0,,1.032,1.249
LinearRegression,FHE,6.0,,0.745,0.927
LinearRegression,FHE,7.0,,0.402,0.469
LinearRegression,FHE,8.0,,0.275,0.314
LinearRegression,FHE,9.0,,0.166,0.187
LinearRegression,FHE,10.0,,0.03,0.038
LinearRegression,FHE,11.0,,0.025,0.03
LinearRegression,FHE,12.0,,0.008,0.01
LinearRegression,FHE,13.0,,0.009,0.011
LinearRegression,FHE,14.0,,0.003,0.003
LinearRegression,FHE,15.0,,0.002,0.002
Ridge,Clear,,,0.0909,0.2686
Ridge,FHE,2.0,,17.913,20.07
Ridge,FHE,3.0,,3.87,4.536
Ridge,FHE,4.0,,1.559,1.881
Ridge,FHE,5.0,,0.918,1.132
Ridge,FHE,6.0,,0.37,0.464
Ridge,FHE,7.0,,0.15,0.186
Ridge,FHE,8.0,,0.072,0.092
Ridge,FHE,9.0,,0.033,0.042
Ridge,FHE,10.0,,0.022,0.028
Ridge,FHE,11.0,,0.016,0.019
Ridge,FHE,12.0,,0.008,0.009
Ridge,FHE,13.0,,0.005,0.006
Ridge,FHE,14.0,,0.004,0.005
Ridge,FHE,15.0,,0.004,0.005
Lasso,Clear,,,0.5404,0.734
Lasso,FHE,2.0,,7.64,9.14
Lasso,FHE,3.0,,3.104,3.706
Lasso,FHE,4.0,,1.678,2.008
Lasso,FHE,5.0,,0.987,1.222
Lasso,FHE,6.0,,0.838,1.145
Lasso,FHE,7.0,,0.766,1.032
Lasso,FHE,8.0,,0.727,0.976
Lasso,FHE,9.0,,0.719,0.959
Lasso,FHE,10.0,,0.724,0.97
Lasso,FHE,11.0,,0.725,0.974
Lasso,FHE,12.0,,0.723,0.972
Lasso,FHE,13.0,,0.721,0.968
Lasso,FHE,14.0,,0.721,0.968
Lasso,FHE,15.0,,0.721,0.969
ElasticNet,Clear,,,4.5578,5.8615
ElasticNet,FHE,2.0,,8.602,11.089
ElasticNet,FHE,3.0,,8.141,10.473
ElasticNet,FHE,4.0,,7.161,9.246
ElasticNet,FHE,5.0,,7.187,9.268
ElasticNet,FHE,6.0,,7.227,9.328
ElasticNet,FHE,7.0,,7.105,9.153
ElasticNet,FHE,8.0,,7.102,9.142
ElasticNet,FHE,9.0,,7.109,9.15
ElasticNet,FHE,10.0,,7.118,9.163
ElasticNet,FHE,11.0,,7.119,9.165
ElasticNet,FHE,12.0,,7.116,9.163
ElasticNet,FHE,13.0,,7.115,9.16
ElasticNet,FHE,14.0,,7.116,9.161
ElasticNet,FHE,15.0,,7.115,9.161
SGDRegressor,Clear,,,0.3026,0.5031
SGDRegressor,FHE,2.0,,10.094,11.538
SGDRegressor,FHE,3.0,,4.145,4.939
