Model,Type,Eval_Set,Bits,Total_Time_s,Time_Per_Sample_s,Target,Feature_Set
LinearRegression,Clear_Train,Train,0,13.04167127609253,1.053226447463134e-05,BIS,All
LinearRegression,FHE_2b,Test,2,432.87353587150574,0.4328735358715057,BIS,All
LinearRegression,FHE_3b,Test,3,164.02738404273987,0.1640273840427398,BIS,All
LinearRegression,FHE_4b,Test,4,193.2718949317932,0.1932718949317932,BIS,All
LinearRegression,FHE_5b,Test,5,205.5215620994568,0.2055215620994568,BIS,All
LinearRegression,FHE_6b,Test,6,249.66226983070376,0.2496622698307037,BIS,All
LinearRegression,FHE_7b,Test,7,226.7129499912262,0.2267129499912262,BIS,All
LinearRegression,FHE_8b,Test,8,195.78744196891785,0.1957874419689178,BIS,All
LinearRegression,FHE_9b,Test,9,184.0652048587799,0.1840652048587799,BIS,All
LinearRegression,FHE_10b,Test,10,161.34853672981262,0.1613485367298126,BIS,All
LinearRegression,FHE_11b,Test,11,147.2683229446411,0.1472683229446411,BIS,All
LinearRegression,FHE_12b,Test,12,150.21232795715332,0.1502123279571533,BIS,All
LinearRegression,FHE_13b,Test,13,188.9971709251404,0.1889971709251403,BIS,All
LinearRegression,FHE_14b,Test,14,207.8264937400818,0.2078264937400817,BIS,All
LinearRegression,FHE_15b,Test,15,201.20438408851624,0.2012043840885162,BIS,All
Ridge,Clear_Train,Train,0,7.877948999404907,6.362117294851002e-06,BIS,All
Ridge,FHE_2b,Test,2,191.81751608848572,0.1918175160884857,BIS,All
Ridge,FHE_3b,Test,3,191.57886838912964,0.1915788683891296,BIS,All
Ridge,FHE_4b,Test,4,191.75190114974976,0.1917519011497497,BIS,All
Ridge,FHE_5b,Test,5,110.70459008216858,0.1107045900821685,BIS,All
Ridge,FHE_6b,Test,6,113.33505511283876,0.1133350551128387,BIS,All
Ridge,FHE_7b,Test,7,103.55795097351074,0.1035579509735107,BIS,All
Ridge,FHE_8b,Test,8,118.20556592941284,0.1182055659294128,BIS,All
Ridge,FHE_9b,Test,9,102.93029999732973,0.1029302999973297,BIS,All
Ridge,FHE_10b,Test,10,128.55347084999084,0.1285534708499908,BIS,All
Ridge,FHE_11b,Test,11,109.40422677993774,0.1094042267799377,BIS,All
Ridge,FHE_12b,Test,12,117.52158427238464,0.1175215842723846,BIS,All
Ridge,FHE_13b,Test,13,97.05536413192748,0.0970553641319274,BIS,All
Ridge,FHE_14b,Test,14,90.11985397338869,0.0901198539733886,BIS,All
Ridge,FHE_15b,Test,15,83.57518267631531,0.0835751826763153,BIS,All
Lasso,Clear_Train,Train,0,6.904644966125488,5.576091081207961e-06,BIS,All
Lasso,FHE_2b,Test,2,160.2854199409485,0.1602854199409485,BIS,All
Lasso,FHE_3b,Test,3,143.24851417541504,0.143248514175415,BIS,All
Lasso,FHE_4b,Test,4,162.18053245544434,0.1621805324554443,BIS,All
Lasso,FHE_5b,Test,5,78.09261989593506,0.078092619895935,BIS,All
Lasso,FHE_6b,Test,6,141.7752389907837,0.1417752389907837,BIS,All
Lasso,FHE_7b,Test,7,130.05549383163452,0.1300554938316345,BIS,All
Lasso,FHE_8b,Test,8,163.85443091392517,0.1638544309139251,BIS,All
Lasso,FHE_9b,Test,9,159.24244713783264,0.1592424471378326,BIS,All
Lasso,FHE_10b,Test,10,145.41423511505127,0.1454142351150512,BIS,All
Lasso,FHE_11b,Test,11,58.07821202278137,0.0580782120227813,BIS,All
Lasso,FHE_12b,Test,12,142.63285303115845,0.1426328530311584,BIS,All
Lasso,FHE_13b,Test,13,140.84965920448303,0.140849659204483,BIS,All
Lasso,FHE_14b,Test,14,155.65939784049988,0.1556593978404998,BIS,All
Lasso,FHE_15b,Test,15,141.37536311149597,0.1413753631114959,BIS,All
ElasticNet,Clear_Train,Train,0,9.250165939331056,7.470299783269134e-06,BIS,All
ElasticNet,FHE_2b,Test,2,197.249027967453,0.197249027967453,BIS,All
ElasticNet,FHE_3b,Test,3,125.53252506256104,0.125532525062561,BIS,All
ElasticNet,FHE_4b,Test,4,126.42294383049013,0.1264229438304901,BIS,All
ElasticNet,FHE_5b,Test,5,127.12925696372986,0.1271292569637298,BIS,All
ElasticNet,FHE_6b,Test,6,126.62425088882446,0.1266242508888244,BIS,All
ElasticNet,FHE_7b,Test,7,115.46010494232178,0.1154601049423217,BIS,All
ElasticNet,FHE_8b,Test,8,162.55479097366333,0.1625547909736633,BIS,All
ElasticNet,FHE_9b,Test,9,137.87293601036072,0.1378729360103607,BIS,All
ElasticNet,FHE_10b,Test,10,125.393079996109,0.125393079996109,BIS,All
ElasticNet,FHE_11b,Test,11,153.0051872730255,0.1530051872730255,BIS,All
ElasticNet,FHE_12b,Test,12,153.18025493621826,0.1531802549362182,BIS,All
ElasticNet,FHE_13b,Test,13,140.53494596481323,0.1405349459648132,BIS,All
ElasticNet,FHE_14b,Test,14,160.04866695404053,0.1600486669540405,BIS,All
ElasticNet,FHE_15b,Test,15,172.52223110198975,0.1725222311019897,BIS,All
SGDRegressor,Clear_Train,Train,0,49.46673893928528,3.994862055457322e-05,BIS,All
SGDRegressor,FHE_2b,Test,2,207.8028130531311,0.2078028130531311,BIS,All
SGDRegressor,FHE_3b,Test,3,218.97942805290225,0.2189794280529022,BIS,All
SGDRegressor,FHE_4b,Test,4,51.7132420539856,0.0517132420539855,BIS,All
SGDRegressor,FHE_5b,Test,5,40.18428301811218,0.0401842830181121,BIS,All
SGDRegressor,FHE_6b,Test,6,42.48281979560852,0.0424828197956085,BIS,All
SGDRegressor,FHE_7b,Test,7,40.66506600379944,0.0406650660037994,BIS,All
SGDRegressor,FHE_8b,Test,8,41.754199743270874,0.0417541997432708,BIS,All
SGDRegressor,FHE_9b,Test,9,43.64557099342346,0.0436455709934234,BIS,All
SGDRegressor,FHE_10b,Test,10,45.466962814331055,0.045466962814331,BIS,All
SGDRegressor,FHE_11b,Test,11,41.024521827697754,0.0410245218276977,BIS,All
SGDRegressor,FHE_12b,Test,12,41.605353116989136,0.0416053531169891,BIS,All
SGDRegressor,FHE_13b,Test,13,42.62998557090759,0.0426299855709075,BIS,All
SGDRegressor,FHE_14b,Test,14,42.73516488075256,0.0427351648807525,BIS,All
SGDRegressor,FHE_15b,Test,15,45.81760096549988,0.0458176009654998,BIS,All
LinearSVR,Clear_Train,Train,0,2336.1255140304565,0.001886621065569,BIS,All
LinearSVR,FHE_2b,Test,2,101.72259712219238,0.1017225971221923,BIS,All
LinearSVR,FHE_3b,Test,3,153.187814950943,0.153187814950943,BIS,All
LinearSVR,FHE_4b,Test,4,169.6886751651764,0.1696886751651763,BIS,All
LinearSVR,FHE_5b,Test,5,111.96234893798828,0.1119623489379882,BIS,All
LinearSVR,FHE_6b,Test,6,74.622811794281,0.074622811794281,BIS,All
LinearSVR,FHE_7b,Test,7,68.42353200912476,0.0684235320091247,BIS,All
LinearSVR,FHE_8b,Test,8,93.71812081336977,0.0937181208133697,BIS,All
LinearSVR,FHE_9b,Test,9,68.57660913467407,0.068576609134674,BIS,All
LinearSVR,FHE_10b,Test,10,83.24259305000305,0.083242593050003,BIS,All
LinearSVR,FHE_11b,Test,11,81.0154938697815,0.0810154938697814,BIS,All
LinearSVR,FHE_12b,Test,12,87.69849014282227,0.0876984901428222,BIS,All
LinearSVR,FHE_13b,Test,13,69.82069873809814,0.0698206987380981,BIS,All
LinearSVR,FHE_14b,Test,14,88.8130087852478,0.0888130087852478,BIS,All
LinearSVR,FHE_15b,Test,15,95.36037492752077,0.0953603749275207,BIS,All
DecisionTree,Clear_Train,Train,0,22.53521704673767,1.819911427798035e-05,BIS,All
DecisionTree,FHE_2b__D4,Test,2,812.0093019008636,0.8120093019008636,BIS,All
DecisionTree,FHE_2b__D5,Test,2,859.0466978549957,0.8590466978549958,BIS,All
DecisionTree,FHE_2b__D6,Test,2,1093.428522348404,1.093428522348404,BIS,All
