Model,Type,Bits,Max Depth,Accuracy,F1 Score,Inference Time (s),Precision,Recall,SortOrder
XGBoost (Clear),Clear,0,0,0.9505,0.9489,0.0,,,
XGBoost FHE,FHE,2,4,0.892,0.5263,658.4851,0.3797,0.8571,1.0
XGBoost FHE,FHE,2,5,0.918,0.0,950.3897,0.0,0.0,1.0
XGBoost FHE,FHE,2,6,0.93,0.0,1584.985,0.0,0.0,1.0
XGBoost FHE,FHE,2,7,0.93,0.0,2586.5086,0.0,0.0,1.0
XGBoost FHE,FHE,2,8,0.93,0.0,9275.8718,0.0,0.0,1.0
XGBoost FHE,FHE,2,9,0.93,0.0,15260.7313,0.0,0.0,1.0
XGBoost FHE,FHE,2,10,0.93,0.0,23051.3551,0.0,0.0,1.0
XGBoost FHE,FHE,3,4,0.906,0.5766,757.3,0.4211,0.9143,1.0
XGBoost FHE,FHE,3,5,0.892,0.5424,1010.2997,0.3855,0.9143,1.0
XGBoost FHE,FHE,3,6,0.884,0.5246,1823.7969,0.3678,0.9143,1.0
XGBoost FHE,FHE,3,7,0.902,0.5664,2866.3984,0.4103,0.9143,1.0
XGBoost FHE,FHE,3,8,0.898,0.5405,8724.7409,0.3947,0.8571,1.0
XGBoost FHE,FHE,3,9,0.9,0.5536,10515.9389,0.4026,0.8857,1.0
XGBoost FHE,FHE,3,10,0.902,0.5664,17603.2788,0.4103,0.9143,1.0
XGBoost FHE,FHE,4,4,0.858,0.4741,755.9758,0.32,0.9143,1.0
XGBoost FHE,FHE,4,5,0.862,0.4812,1118.4084,0.3265,0.9143,1.0
XGBoost FHE,FHE,4,6,0.832,0.4545,1891.1485,0.2941,1.0,1.0
XGBoost FHE,FHE,4,7,0.83,0.4516,4996.9642,0.2917,1.0,1.0
XGBoost FHE,FHE,4,8,0.89,0.5378,10911.3235,0.381,0.9143,1.0
XGBoost FHE,FHE,4,9,0.888,0.5333,20321.7586,0.3765,0.9143,1.0
XGBoost FHE,FHE,4,10,0.88,0.5,33774.6749,0.3529,0.8571,1.0
XGBoost FHE,FHE,5,4,0.812,0.4125,1107.5127,0.264,0.9429,1.0
XGBoost FHE,FHE,5,5,0.808,0.4074,1981.5423,0.2598,0.9429,1.0
XGBoost FHE,FHE,5,6,0.822,0.4258,3508.4197,0.275,0.9429,1.0
XGBoost FHE,FHE,5,7,0.834,0.4503,12013.0148,0.2931,0.9714,1.0
XGBoost FHE,FHE,5,8,0.836,0.4533,20555.5789,0.2957,0.9714,1.0
XGBoost FHE,FHE,5,9,0.878,0.5271,38823.391,0.3617,0.9714,1.0
XGBoost FHE,FHE,5,10,0.896,0.5439,66051.8042,0.3924,0.8857,1.0
XGBoost FHE,FHE,6,4,0.868,0.5075,1593.1233,0.3434,0.9714,1.0
XGBoost FHE,FHE,6,5,0.868,0.5075,2298.0554,0.3434,0.9714,1.0
XGBoost FHE,FHE,6,6,0.878,0.5271,4106.7903,0.3617,0.9714,1.0
XGBoost FHE,FHE,6,7,0.89,0.5455,12642.3793,0.3837,0.9429,1.0
XGBoost FHE,FHE,6,8,0.906,0.5841,21191.7221,0.4231,0.9429,1.0
XGBoost FHE,FHE,6,9,0.906,0.5841,38640.3916,0.4231,0.9429,1.0
XGBoost FHE,FHE,6,10,0.912,0.5769,67590.7786,0.4348,0.8571,1.0
XGBoost FHE,FHE,7,4,0.854,0.4823,1893.0857,0.3208,0.9714,1.0
XGBoost FHE,FHE,7,5,0.878,0.5197,2664.7252,0.3587,0.9429,1.0
XGBoost FHE,FHE,7,6,0.876,0.5156,4808.0906,0.3548,0.9429,1.0
XGBoost FHE,FHE,7,7,0.88,0.5238,8948.5085,0.3626,0.9429,1.0
XGBoost FHE,FHE,7,8,0.884,0.5323,18252.2551,0.3708,0.9429,1.0
XGBoost FHE,FHE,7,9,0.886,0.5366,35615.4656,0.375,0.9429,1.0
XGBoost FHE,FHE,7,10,0.906,0.5841,66686.3746,0.4231,0.9429,1.0
XGBoost FHE,FHE,8,4,0.868,0.5147,1683.5974,0.3465,1.0,1.0
XGBoost FHE,FHE,8,5,0.892,0.5574,2642.531,0.3908,0.9714,1.0
XGBoost FHE,FHE,8,6,0.89,0.5455,5667.0836,0.3837,0.9429,1.0
XGBoost FHE,FHE,8,7,0.894,0.547,11379.5584,0.3902,0.9143,1.0
XGBoost FHE,FHE,8,8,0.896,0.5517,30021.7322,0.3951,0.9143,1.0
XGBoost FHE,FHE,8,9,0.908,0.5818,54184.016,0.4267,0.9143,1.0
XGBoost FHE,FHE,8,10,0.916,0.5882,152151.8038,0.4478,0.8571,1.0
XGBoost FHE,FHE,9,4,0.838,0.4636,3551.758,0.3017,1.0,1.0
XGBoost FHE,FHE,9,5,0.878,0.5197,6605.5884,0.3587,0.9429,1.0
XGBoost FHE,FHE,9,6,0.896,0.5593,8857.421,0.3976,0.9429,1.0
XGBoost FHE,FHE,9,7,0.89,0.5455,16376.712,0.3837,0.9429,1.0
XGBoost FHE,FHE,9,8,0.898,0.5641,42154.6049,0.4024,0.9429,1.0
XGBoost FHE,FHE,9,9,0.906,0.5607,83683.8039,0.4167,0.8571,1.0
XGBoost FHE,FHE,9,10,0.934,0.6526,121003.4123,0.5167,0.8857,1.0
XGBoost FHE,FHE,10,4,0.876,0.5079,7500.8959,0.3516,0.9143,1.0
XGBoost FHE,FHE,10,5,0.886,0.5289,12393.9973,0.3721,0.9143,1.0
